"","SubmissionDate","starttime","endtime","tl","note_1","note_2","intro","consent_text","consent","note_3","date_time","id","gender_q2_1","age_q2_2","vht_naba","long_VHT_q2_3","unit_q2_3vht","number_q2_3vht","started_VHT_q2_4","paid_q2_5vht","earn_q2_6vht","long_naba_q2_3","unit_q2_3naba","number_q2_3naba","started_naba_q2_4","paid_q2_5naba","earn_q2_6naba","hospital_q2_7","unit_q2_7","number_q2_7","hospital_q2_7b","unit_q2_7b","number_q2_7b","households_q2_8","visits_q2_9","note_3_1","violence_q3_1f","other_q3_1g","other_q3_1g_number","q3_2err","note_3_3","victim_q3_3a","perpetrator_q3_3b","victim_fam_q3_3c","perpetrator_fam_q3_3d","victim_friends_q3_3e","perpetrator_friends_q3_3f","neighbors_q3_3g","other_q3_3h","other_q3_3h_number","q3_3err","viol_unreported_q3_2","viol_unreported_q3_3b","viol_nomedic_q3_5","viol_nomedic_q3_5why","advice_q3_6","years_vill_q2_12","people_known_q2_13","intervene_q8_9","friends_fam_q16_3","note_q6_1","rounds_q6_1","machete_q6_2","killed_witch_q14_1","possible_kill_q14_1b","witchdoctor_q6_4","films_q17_1","other_attend_q17_2","note_thanks","instanceID","formdef_version","KEY","tc_id"
"11","May 16, 2016 5:58:48 PM","May 16, 2016 1:27:47 PM","May 16, 2016 3:31:43 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 1:28:00 PM","V124103",2,47,1,NA,2,12,"Begun from the sensitizations of malaria",2,"Agriculture",NA,NA,NA,NA,NA,NA,NA,1,10,NA,1,10,100,"1",NA,6,"Man failure to provide",0,NA,NA,6,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"First get the root cause,and then go to the LC",45,1,NA,NA,NA,1,"Use hot water",NA,NA,2,5,NA,NA,"uuid:9c25da19-2838-4ac7-b3f8-650cbfba1518",1605152102,"uuid:9c25da19-2838-4ac7-b3f8-650cbfba1518",42
"12","May 16, 2016 5:58:47 PM","May 16, 2016 9:39:45 AM","May 16, 2016 3:25:25 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 9:43:00 AM","V124101",2,44,2,NA,NA,NA,NA,NA,NA,NA,2,6,"TryShe was unproposed.Hence willingly chosen by the villagers.",2,"Trade",NA,1,5,NA,1,30,NA,NA,NA,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,"Learn to be obedient the husband",24,3,NA,NA,NA,2,"Use of local herbs",NA,NA,2,6,NA,NA,"uuid:f31f6ed5-aa94-43de-9c97-97c0e6352da7",1605152102,"uuid:f31f6ed5-aa94-43de-9c97-97c0e6352da7",42
"13","May 16, 2016 5:58:48 PM","May 16, 2016 2:32:11 PM","May 16, 2016 3:30:32 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 2:37:00 PM","V124104",2,33,1,NA,2,12,"The chairman asked for the displined and educated people on the village",2,"Digging",NA,NA,NA,NA,NA,NA,NA,1,30,NA,2,1,120,"1",NA,2,"0",0,NA,NA,2,0,0,0,0,0,0,"0",0,NA,NA,NA,1,"The denial of the man to give medication","First get the reason then advise her to change",16,2,NA,NA,NA,1,"Rush to the clinic and get a baddage,hence first aid",NA,NA,4,5,NA,NA,"uuid:be84a401-08c7-4b58-84f4-15d19502ea6b",1605152102,"uuid:be84a401-08c7-4b58-84f4-15d19502ea6b",42
"14","May 16, 2016 5:58:49 PM","May 16, 2016 4:15:03 PM","May 16, 2016 4:38:13 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 4:16:00 PM","V124106",2,38,1,NA,2,5,"When they were looking for voluntary health Workers",2,"Digging and raring",NA,NA,NA,NA,NA,NA,NA,1,30,NA,2,40,110,"1",NA,2,"0",0,NA,NA,2,0,0,0,0,0,0," 0",0,NA,NA,NA,2,NA,"Advice her  go to the authorities",20,2,NA,NA,NA,1,"Go to the clinic for a vaccination",NA,NA,2,6,NA,NA,"uuid:5bcec806-5b8d-439c-b1bd-54c3a1bf7482",1605152102,"uuid:5bcec806-5b8d-439c-b1bd-54c3a1bf7482",42
"15","May 16, 2016 5:58:49 PM","May 16, 2016 4:49:46 PM","May 16, 2016 5:10:39 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 4:51:00 PM","V124105",2,51,1,NA,2,6,"Was so commumited to voluntary work",2,"Farming ,trade and raring",NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,30,114,"0",NA,5,"its  about loans",10,NA,NA,5,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"Respect each other",51,2,NA,NA,NA,1,"Goes for a tetanus vaccination",NA,NA,2,NA,NA,NA,"uuid:a587e9e0-686b-4005-ab67-5d73f52f338d",1605152102,"uuid:a587e9e0-686b-4005-ab67-5d73f52f338d",42
"16","May 16, 2016 6:51:06 PM","May 16, 2016 9:46:30 AM","May 16, 2016 1:17:44 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 9:55:00 AM","V124202",2,52,2,NA,NA,NA,NA,NA,NA,NA,2,6,"Just voted her because of her trust in the village",1,"Farmer",NA,1,30,NA,1,45,NA,NA,NA,33,"0",0,NA,NA,4,15,8,0,2,0,4,"0",0,NA,NA,NA,1,"Men drink a lot and they don't mind about their family","I go and meet the husband to settle the matters",37,1,NA,NA,NA,1,"There are four clinics in the village",NA,NA,3,1,NA,NA,"uuid:6c450177-ec6f-4367-8df1-cddc59fdcf4b",1605152102,"uuid:6c450177-ec6f-4367-8df1-cddc59fdcf4b",51
"17","May 16, 2016 6:51:07 PM","May 16, 2016 10:30:10 AM","May 16, 2016 11:12:43 AM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 10:41:00 AM","V124208",2,42,1,NA,2,4,"People are the one who voted her fours ago",2,"Farmer",NA,NA,NA,NA,NA,NA,NA,1,10,NA,1,20,81,"2 times in the month",NA,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,"Men have note than one wife","I first ask the matter and then I settle things",28,2,NA,NA,NA,2,"Take you to the clinic if at all the would is small or to the government hospital",NA,NA,3,5,NA,NA,"uuid:c0e9a5f1-b32b-4889-ae50-e547f42dac27",1605152102,"uuid:c0e9a5f1-b32b-4889-ae50-e547f42dac27",51
"18","May 16, 2016 6:51:11 PM","May 16, 2016 11:16:53 AM","May 16, 2016 12:07:39 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 11:21:00 AM","V124201",2,35,1,NA,2,3,"Village people voted her because of her trust in the village",1,"Farmer and small shop ",NA,NA,NA,NA,NA,NA,NA,1,30,NA,1,45,81,"1",NA,25,"0",0,NA,NA,12,4,2,3,1,0,3,"0",0,NA,NA,NA,1,"Men don't want to care for the family","I call the husband and I counsel them for a while",20,2,NA,NA,NA,1,"There some clinics in the trading center ",NA,NA,3,5,NA,NA,"uuid:3ce64ecd-cb1b-4ddb-8323-1a2080eb9a8f",1605152102,"uuid:3ce64ecd-cb1b-4ddb-8323-1a2080eb9a8f",51
"19","May 16, 2016 6:51:21 PM","May 16, 2016 12:22:23 PM","May 16, 2016 12:52:06 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 12:22:00 PM","V124204",1,48,1,NA,2,9,"Information came from the district and village members voted him",2,"Farmer",NA,NA,NA,NA,NA,NA,NA,1,20,NA,2,1,157,"Once in three months",NA,1,"Youth fighting together",3,NA,NA,0,0,0,0,1,0,0,"0",0,NA,NA,NA,1,"Poverty ","Ask her why he beating her, then I counsel them ",23,2,NA,NA,NA,2,"Visit the nearby clinics in the village",NA,NA,3,4,NA,NA,"uuid:64b98b2d-5363-498e-bb42-ff21bf2c6d74",1605152102,"uuid:64b98b2d-5363-498e-bb42-ff21bf2c6d74",51
"20","May 16, 2016 6:51:59 PM","May 16, 2016 9:54:06 AM","May 16, 2016 10:32:43 AM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 9:54:00 AM","V128101",1,45,1,NA,2,8,"He used to help doctors during immunization programmes.when the chance came his name was forwarded by the lc chairman ",2,"Has a shop",NA,NA,NA,NA,NA,NA,NA,1,30,NA,2,1,300,"2 times a months",NA,3,"0",0,NA,NA,3,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"Advise them to do their responsibilities in their homes",16,2,NA,NA,NA,1,"The immediate person ties the wound and the patient is taken to the hospital",NA,NA,NA,4,NA,NA,"uuid:54ed4385-d6ac-428d-95fa-059fc6ab98d3",1605152102,"uuid:54ed4385-d6ac-428d-95fa-059fc6ab98d3",44
"21","May 16, 2016 6:52:00 PM","May 16, 2016 10:36:37 AM","May 16, 2016 11:08:27 AM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 10:36:00 AM","V128102",1,47,1,NA,2,4,"Was selected by community members who hold a meeting chaired by the chairman",2,"Teacher",NA,NA,NA,NA,NA,NA,NA,1,30,NA,2,1,150,"Once a months",NA,50,"0",0,NA,NA,30,10,3,3,2,2,0,"0",0,NA,NA,NA,2,NA,"Make the couple sit with the vht and they settle the dispute",26,2,NA,NA,NA,1,"The vht can take him to the health centre",NA,NA,3,5,NA,NA,"uuid:6b14170e-dac1-448e-9726-4f404a52c81e",1605152102,"uuid:6b14170e-dac1-448e-9726-4f404a52c81e",44
"22","May 16, 2016 6:52:01 PM","May 16, 2016 11:56:08 AM","May 16, 2016 12:24:21 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 11:56:00 AM","V128104",1,44,1,NA,2,2,"Was selected by the vht co-rdinator  and he went for training in bukamba health center iii",2,"Teacher at busitwa primary school",NA,NA,NA,NA,NA,NA,NA,1,30,NA,2,1,100,"Once a month",NA,50,"0",0,NA,NA,15,10,20,5,0,0,0,"0",0,NA,NA,NA,1,"Lack of money from the victim to go for treatment","He may arrange meetings with the couple for peaceful talk ",38,2,NA,NA,NA,1,"The relatives takes him to the hospital",NA,NA,2,5,NA,NA,"uuid:7d0546e9-6eab-4bec-b0e6-c5590eac739f",1605152102,"uuid:7d0546e9-6eab-4bec-b0e6-c5590eac739f",44
"23","May 16, 2016 6:52:00 PM","May 16, 2016 11:13:03 AM","May 16, 2016 11:38:17 AM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 11:13:00 AM","V128103",2,50,1,NA,2,10,"The lc1 chairman forwarded her name because she was HIV positive in order to make coordination with the positive people",2,"No",NA,NA,NA,NA,NA,NA,NA,1,30,NA,2,1,600,"3 times  a month",NA,1,"0",0,NA,NA,1,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"Counseling and advising her to do the right thing",37,2,NA,NA,NA,1,"Go to the nearest health worker for help",NA,NA,NA,5,NA,NA,"uuid:ea80f7a2-3cd4-4e90-913b-f04a22272db0",1605152102,"uuid:ea80f7a2-3cd4-4e90-913b-f04a22272db0",44
"24","May 16, 2016 6:52:01 PM","May 16, 2016 12:43:01 PM","May 16, 2016 6:51:45 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 12:43:00 PM","v128105",2,43,2,NA,NA,NA,NA,NA,NA,NA,2,3,"Was elected by women",2,"Farming",NA,2,1,NA,2,3,NA,NA,NA,30,"0",0,NA,NA,6,10,5,3,6,0,0,"0",0,NA,NA,NA,1,"Lack of money in the family","She calls the couple and identifies the cause of the problem and its solved there and then",43,1,NA,NA,NA,1,"The patient should go to the health centre",NA,NA,3,5,NA,NA,"uuid:0caae20c-f6f7-4057-b9b8-19c517d86480",1605152102,"uuid:0caae20c-f6f7-4057-b9b8-19c517d86480",44
"25","May 16, 2016 6:52:56 PM","May 16, 2016 9:39:50 AM","May 16, 2016 10:21:42 AM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 9:46:00 AM","V126101",1,38,1,NA,2,15,"Elected by lc1 village committee",2,"Farmer",NA,NA,NA,NA,NA,NA,NA,1,30,NA,2,1,200,"Once a  year",NA,1,"0",0,NA,NA,1,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"Report to chairman or nabakyala",38,2,NA,NA,NA,1,"Washes the wound and wraps a bandage",NA,NA,3,3,NA,NA,"uuid:c0484bf7-cd46-44c5-b7ab-f056decd40d2",1605152102,"uuid:c0484bf7-cd46-44c5-b7ab-f056decd40d2",32
"26","May 16, 2016 6:52:58 PM","May 16, 2016 10:39:36 AM","May 16, 2016 11:20:06 AM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 10:43:00 AM","V126102",2,48,2,NA,NA,NA,NA,NA,NA,NA,2,10,"Elected by the people in the village",2,"Farmer",NA,1,30,NA,1,30,NA,NA,NA,5,"0",0,NA,NA,5,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"Report to chairman,in case the person doesn't change you report to FIDA",30,1,NA,NA,NA,1,"Tie a cloth around the wound to reduce bleeding",NA,NA,4,5,NA,NA,"uuid:d86a17db-d100-4a23-9cee-c4dd81d4eb05",1605152102,"uuid:d86a17db-d100-4a23-9cee-c4dd81d4eb05",32
"27","May 16, 2016 6:52:59 PM","May 16, 2016 11:39:41 AM","May 16, 2016 2:44:37 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 11:44:00 AM","V126104",1,39,1,NA,2,6,"Elected by lc1 committee",2,"Teacher",NA,NA,NA,NA,NA,NA,NA,1,10,NA,1,30,30,"4 times a year",NA,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,"He will council the lady and latter try to talk to the husband",35,2,NA,NA,NA,1,"Will tie a piece of cloth around to reduce bleeding",NA,NA,3,5,NA,NA,"uuid:6baaf9e6-b11d-43d1-a89d-c4326d8b26ab",1605152102,"uuid:6baaf9e6-b11d-43d1-a89d-c4326d8b26ab",32
"28","May 16, 2016 6:53:01 PM","May 16, 2016 12:20:06 PM","May 16, 2016 2:43:33 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 12:22:00 PM","V126103",2,45,1,NA,2,14,"Elected by the village committee",2,"Farmer",NA,NA,NA,NA,NA,NA,NA,1,30,NA,1,45,64,"Whenever there's a needy program",NA,7,"0",0,NA,NA,3,2,0,0,1,0,1,"0",0,NA,NA,NA,1,"They fear their husbands","Council her about home affairs",28,2,NA,NA,NA,1,"Refer the person to health center 2",NA,NA,3,5,NA,NA,"uuid:650c86a7-a7e4-42e5-8a4a-34112292b2da",1605152102,"uuid:650c86a7-a7e4-42e5-8a4a-34112292b2da",32
"29","May 16, 2016 6:53:02 PM","May 16, 2016 1:13:36 PM","May 16, 2016 1:47:45 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 1:16:00 PM","V126105",2,46,1,NA,2,10,"Elected by village members",2,"Farmer",NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,2,30,"Once a month",NA,2,"0",0,NA,NA,2,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"Tells the lady to report to lc1",46,2,NA,NA,NA,1,"Tie a piece of cloth around the wound",NA,NA,NA,6,NA,NA,"uuid:4b601c31-70fb-4060-ab81-a3584cce6bc1",1605152102,"uuid:4b601c31-70fb-4060-ab81-a3584cce6bc1",32
"30","May 16, 2016 6:55:17 PM","May 16, 2016 1:55:12 PM","May 16, 2016 3:14:28 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 1:55:00 PM","V125201",2,56,2,NA,NA,NA,NA,NA,NA,NA,2,30,"I contested in a race and I was elected by the people",2,"Nursery teacher",NA,1,30,NA,1,30,NA,NA,NA,5,"0",0,NA,NA,5,0,0,0,0,0,0,"0",0,NA,NA,NA,1,"The women do not have the money for treatment","I tell her to go the hospital and get treatment",33,3,NA,NA,NA,2,"There are clinics at the village",NA,NA,2,5,NA,NA,"uuid:336f408b-3bee-45e3-a5d5-ee2cb43feacc",1605152102,"uuid:336f408b-3bee-45e3-a5d5-ee2cb43feacc",40
"31","May 16, 2016 6:55:18 PM","May 16, 2016 3:16:34 PM","May 16, 2016 3:52:00 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 3:17:00 PM","V125204",2,37,1,NA,2,8,"The health assistant kangulumira sub county appointed us",2,"Farming, maize, ground nuts and tomatoes",NA,NA,NA,NA,NA,NA,NA,1,30,NA,1,50,48,"Twice a month",NA,1,"0",0,NA,NA,1,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"I tell her to go the hospital for treatment or I tell her to bring her husband for counselling",22,3,NA,NA,NA,1,"For first aid we apply local herbs to stop the bleeding, then take him to the nearest clinic, if the condition is too severe then we can take him to the health center 2",NA,NA,3,6,NA,NA,"uuid:ed1b6b51-ad37-45e8-9f45-2aa2e0ae553e",1605152102,"uuid:ed1b6b51-ad37-45e8-9f45-2aa2e0ae553e",40
"32","May 16, 2016 6:55:18 PM","May 16, 2016 4:01:50 PM","May 16, 2016 4:26:17 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 4:02:00 PM","V125205",1,26,1,NA,2,5,"I was nominated and selected by the people of the village",2,"I own a chapati kiosk, I also do farming and poultry",NA,NA,NA,NA,NA,NA,NA,1,30,NA,1,30,0,"Twice a year",NA,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,2,NA,"I reach out to the husband and try to discuss the issue with the couple",26,2,NA,NA,NA,1,"I rush him to the nearest clinic then reffer him to a health center 3 or health center 4",NA,NA,3,5,NA,NA,"uuid:5de941bb-fe3c-4ba2-8e4d-b3c79afe39b4",1605152102,"uuid:5de941bb-fe3c-4ba2-8e4d-b3c79afe39b4",40
"33","May 16, 2016 6:55:17 PM","May 16, 2016 2:36:17 PM","May 16, 2016 2:54:44 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 2:36:00 PM","V125202",2,41,1,NA,2,4,"I was nominated by the chairperson LC1 since I could read and write english",2,"None",NA,NA,NA,NA,NA,NA,NA,1,30,NA,1,30,10,"We were supposed to visit these households once a month but since we don't get paid, I don't visit these households at all",NA,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,"I tell her to go for counselling with her husband, and if she is hurt then she should seek medical help",25,3,NA,NA,NA,2,"He should go to a village clinic for help",NA,NA,3,5,NA,NA,"uuid:73c0b994-19f3-4f1e-9f5b-dd44b2c2d504",1605152102,"uuid:73c0b994-19f3-4f1e-9f5b-dd44b2c2d504",40
"34","May 16, 2016 7:04:10 PM","May 16, 2016 11:54:58 AM","May 16, 2016 12:54:43 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 11:55:00 AM","V112101",2,42,2,NA,NA,NA,NA,NA,NA,NA,2,10,"Was elected",2,"Farmer",NA,1,2,NA,1,2,NA,NA,NA,0,"O",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,"They are poor","L tell her to with me and talk to the husand",12,2,NA,NA,NA,2,"Go to the health center",NA,NA,3,5,NA,NA,"uuid:9eb15d64-06b7-4e74-8d15-df36c5b11ce0",1605152102,"uuid:9eb15d64-06b7-4e74-8d15-df36c5b11ce0",2
