"","SubmissionDate","starttime","endtime","tl","note_1","note_2","intro","consent_text","consent","note_3","date_time","id","gender_q2_1","age_q2_2","vht_naba","long_VHT_q2_3","unit_q2_3vht","number_q2_3vht","started_VHT_q2_4","paid_q2_5vht","earn_q2_6vht","long_naba_q2_3","unit_q2_3naba","number_q2_3naba","started_naba_q2_4","paid_q2_5naba","earn_q2_6naba","hospital_q2_7","unit_q2_7","number_q2_7","hospital_q2_7b","unit_q2_7b","number_q2_7b","households_q2_8","visits_q2_9","visits_q2_9units","visits_q2_9number","note_3_1","violence_q3_1f","other_q3_1g","other_q3_1g_number","q3_2err","note_3_3","victim_q3_3a","perpetrator_q3_3b","victim_fam_q3_3c","perpetrator_fam_q3_3d","victim_friends_q3_3e","perpetrator_friends_q3_3f","neighbors_q3_3g","other_q3_3h","other_q3_3h_number","q3_3err","viol_unreported_q3_2","viol_unreported_q3_3b","viol_nomedic_q3_5","viol_nomedic_q3_5why","advice_q3_6","years_vill_q2_12","people_known_q2_13","intervene_q8_9","friends_fam_q16_3","note_q6_1","rounds_q6_1","machete_q6_2","killed_witch_q14_1","possible_kill_q14_1b","witchdoctor_q6_4","films_q17_1","other_attend_q17_2","note_thanks","instanceID","formdef_version","KEY","tc_id"
"11","May 18, 2017 8:07:55 PM","May 18, 2017 2:33:41 PM","May 18, 2017 6:07:53 PM",7,NA,NA,NA,NA,1,NA,"May 18, 2017 2:33:00 PM","v410361",2,60,1,NA,2,17,"They chaired a village meeting wanting a VHT then people in community appointed me",2,"Subsistence farming",NA,NA,NA,NA,NA,NA,NA,1,30,NA,2,1,400,NA,3,2,NA,4,"0",0,NA,NA,2,2,0,0,0,0,0,"0",0,NA,NA,NA,1,"Disagreements between partners","We have a village women meeting so i call the 2 parties and settle the case",32,3,1,1,NA,2,2,2,2,3,8,4,NA,"uuid:6d443f6a-0d71-47a7-9060-3e62bf12893b",1705151231,"uuid:6d443f6a-0d71-47a7-9060-3e62bf12893b",75
"12","May 18, 2017 8:07:54 PM","May 18, 2017 9:54:16 AM","May 18, 2017 6:05:00 PM",7,NA,NA,NA,NA,1,NA,"May 18, 2017 9:56:00 AM","V410362",1,54,1,NA,2,10,"I was very active in subcounty meetings so when the one who was a VHT was not active members of the community decided to vote me as a VHT instead.",2,"Yes,camera man and shoe shiner",NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,10,50,NA,2,2,NA,2,"Others come with concerns on how to go for an HIV/AIDS testing",30,NA,NA,1,1,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"To go with her in the household and try to reconsile the 2 people.ie sorting out the violence case",21,2,1,1,NA,1,2,2,1,3,5,2,NA,"uuid:fa21ab69-f100-498b-8381-70616b5d39ba",1705151231,"uuid:fa21ab69-f100-498b-8381-70616b5d39ba",75
"13","May 18, 2017 8:08:53 PM","May 18, 2017 11:45:46 AM","May 18, 2017 12:59:59 PM",5,NA,NA,NA,NA,1,NA,"May 18, 2017 11:55:00 AM","v410062",1,40,1,NA,2,10,"Officials from the subcounty convined a meeting on the village to select a person capable of taking on the responsibility of VHT and she was selected by the locals.",2,"Yes",NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,3,800,NA,2,1,NA,13,"20 thefty,security",0,NA,NA,5,2,1,2,1,0,2,"0",0,NA,NA,NA,1,"Health centres are far","Depends on the cause,if it is the woman i tell her to apologise to the man,if it is the man i cousel him.",13,2,1,1,NA,1,2,2,1,NA,7,4,NA,"uuid:444744dc-d163-47ad-b395-77eb94b383a0",1705151231,"uuid:444744dc-d163-47ad-b395-77eb94b383a0",72
"14","May 19, 2017 7:14:11 PM","May 19, 2017 10:13:14 AM","May 19, 2017 10:37:14 AM",6,NA,NA,NA,NA,1,NA,"May 19, 2017 10:17:00 AM","V416133",2,52,1,NA,2,4,"Was selected by community members",2,"Yes farming",NA,NA,NA,NA,NA,NA,NA,1,20,NA,2,3,45,NA,3,1,NA,1,"0",0,NA,NA,1,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"Foward the case to the nabakyaala",27,2,1,1,NA,2,2,2,1,3,7,2,NA,"uuid:3ee9c2f9-a8ab-40f3-8bb8-ac673bf1a64d",1705181732,"uuid:3ee9c2f9-a8ab-40f3-8bb8-ac673bf1a64d",95
"15","May 19, 2017 7:14:11 PM","May 19, 2017 10:58:25 AM","May 19, 2017 11:20:28 AM",6,NA,NA,NA,NA,1,NA,"May 19, 2017 11:01:00 AM","V416132",2,51,1,NA,2,10,"Chairman LC2 selected her",2,"Farming",NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,2,220,NA,3,1,NA,3,"0",0,NA,NA,3,0,0,0,0,0,0,"0",0,NA,NA,NA,1,"Men don,t want to give women hospital money yet they work together","First consult with husband then involve nabakyaala or other female elders",27,2,1,1,NA,2,1,2,1,3,7,3,NA,"uuid:592cc9a6-3860-479a-ae6c-9b1ec127812d",1705181732,"uuid:592cc9a6-3860-479a-ae6c-9b1ec127812d",95
"16","May 19, 2017 7:14:11 PM","May 19, 2017 11:32:49 AM","May 19, 2017 12:03:03 PM",6,NA,NA,NA,NA,1,NA,"May 19, 2017 11:37:00 AM","V416135",2,32,1,NA,2,4,"People who can work voluntarily were invited and i volunteered",2,"Farming, boda riding and teaching",NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,2,100,NA,3,3,NA,5,"0",0,NA,NA,5,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"Tell her to meet them together with husband to talk about the issue",32,3,1,1,NA,1,1,2,1,3,7,1,NA,"uuid:6844691e-b3a1-4a42-88e4-0244657db71e",1705181732,"uuid:6844691e-b3a1-4a42-88e4-0244657db71e",95
"17","May 19, 2017 8:29:26 PM","May 19, 2017 2:22:12 PM","May 19, 2017 2:49:22 PM",3,NA,NA,NA,NA,1,NA,"May 19, 2017 2:22:00 PM","V401355",1,32,1,NA,2,9,"Chairman identified me and they took me for training",2,"Farmer",NA,NA,NA,NA,NA,NA,NA,1,30,NA,1,50,67,NA,3,1,NA,0,"O",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,"Men are not responsible. They don't take care of their wives when sick. Some men never want their wives to use family planning","First ask for the reason and then investigate to know the truth and then ask her on how she wants me to help",30,2,1,1,NA,2,2,2,1,3,8,4,NA,"uuid:05cade50-e04b-4c43-b709-825f739879c0",1705181732,"uuid:05cade50-e04b-4c43-b709-825f739879c0",84
"18","May 19, 2017 8:29:27 PM","May 19, 2017 6:55:16 PM","May 19, 2017 7:19:57 PM",3,NA,NA,NA,NA,1,NA,"May 19, 2017 6:55:00 PM","V401352",2,24,1,NA,2,1.3,"Chairman selected me to be one",1,"Business",NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,35,210,NA,2,1,NA,5,"Family sustainability",42,NA,NA,2,2,0,1,0,0,0,"0",0,NA,NA,NA,1,"Lack of money for treatment","I first ask for the cause and then base on the information provided and then we meet the husband to reconcile",12,2,1,1,NA,1,2,1,1,3,6,1,NA,"uuid:ada16d94-f82f-4059-a770-5165308da6c5",1705181732,"uuid:ada16d94-f82f-4059-a770-5165308da6c5",84
"19","May 19, 2017 9:04:30 PM","May 19, 2017 10:29:57 AM","May 19, 2017 11:20:38 AM",7,NA,NA,NA,NA,1,NA,"May 19, 2017 10:30:00 AM","v416011",1,25,1,NA,2,9,"They asked chairman for people who can serve as VHT satisfactorily then he nominated me ",2,"Teaching  (primary teacher ) and farming ",NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,2,150,NA,3,1,NA,7,"Poor facilities at the Health centre's ie no drugs",25,NA,NA,3,2,0,0,2,0,0,"0",0,NA,NA,NA,1,"Carelessness of the victim or the perpetrator","To report to the Lc1 ",25,2,2,1,NA,2,1,1,1,3,7,1,NA,"uuid:466c8932-2a57-4791-ad0a-5d63e2f39bcb",1705181732,"uuid:466c8932-2a57-4791-ad0a-5d63e2f39bcb",93
"20","May 19, 2017 9:04:31 PM","May 19, 2017 12:39:06 PM","May 19, 2017 1:02:59 PM",7,NA,NA,NA,NA,1,NA,"May 19, 2017 12:39:00 PM","v416014",2,68,2,NA,NA,NA,NA,NA,NA,NA,2,17,"The community members nominated me they saw am capable of the position ",2,"Farming",NA,2,1,NA,2,2,NA,NA,NA,NA,NA,3,"0",0,NA,NA,1,1,0,0,0,0,1,"0",0,NA,NA,NA,2,NA,"I take her in the village meeting and we try to see who is in wrong between the 2 then council to settle the issue ",50,3,1,1,NA,2,2,1,1,3,8,4,NA,"uuid:8525a3c5-57a5-47a7-b19d-e119931f9eed",1705181732,"uuid:8525a3c5-57a5-47a7-b19d-e119931f9eed",93
"21","May 19, 2017 9:04:31 PM","May 19, 2017 3:26:41 PM","May 19, 2017 4:09:14 PM",7,NA,NA,NA,NA,1,NA,"May 19, 2017 3:26:00 PM","v416012",2,50,1,NA,2,6,"I was nominated by the community members ",2,"Farming",NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,3,100,NA,2,2,NA,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,"I just counsel that woman depending on what caused the incident ",40,3,2,1,NA,2,1,2,1,3,7,3,NA,"uuid:b7f01a3d-d0d2-4e93-9ee9-c1c7f2afca8e",1705181732,"uuid:b7f01a3d-d0d2-4e93-9ee9-c1c7f2afca8e",93
"22","May 19, 2017 9:07:00 PM","May 19, 2017 9:50:03 AM","May 19, 2017 1:04:35 PM",4,NA,NA,NA,NA,1,NA,"May 19, 2017 10:00:00 AM","V416101",1,31,1,NA,2,7,"Health officials came around and asked for any one willing and trainable to take up this. So they took us to Nakayima hotel for a 3 months training and after that training we were taken to Nabingoola health centre 3 for more practical and supply of equipments and simple tools to simplify our work in the village.",2,"Am a farmer specialised in crop agriculture.",NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,30,270,NA,2,1,NA,32,"Rape",1,NA,NA,9,5,6,7,5,0,0,"0",0,NA,NA,NA,1,"Some fear that if husbands get to know that they reported such cases the repucations are rather tense in their homes.","I call her husband and advise the couple.",28,2,1,1,NA,2,1,1,1,2,3,1,NA,"uuid:1dcccbc7-aafb-4f1a-b1e6-1ad420e82646",1705181732,"uuid:1dcccbc7-aafb-4f1a-b1e6-1ad420e82646",94
"23","May 19, 2017 9:07:01 PM","May 19, 2017 2:34:40 PM","May 19, 2017 3:31:57 PM",4,NA,NA,NA,NA,1,NA,"May 19, 2017 2:39:00 PM","v416103",2,52,1,NA,2,20,"At first I was a Traditional birth attendant, and then VHT system was introduced. A subcounty councilor conviced me to join after the one who was a VHT failed due to non payment.",2,"Am a farmer and own a retailshop that deals in farm in-puts",NA,NA,NA,NA,NA,NA,NA,1,30,NA,1,30,150,NA,4,5,NA,210,"Development through advanced methods of doing agriculture.",200,NA,NA,70,30,50,0,60,0,0,"0",0,NA,NA,NA,1,"They fear to report their husbands to be imprisoned and police involvement. Secondly, people are poor. Sometimes tthe victims do not trust that police and local leadership can do anything.","I tell her to report the matter to Action Aid an NGO where they she can be counselled.",21,3,2,1,NA,1,1,1,NA,2,8,4,NA,"uuid:c8663a0b-964b-41b8-b84d-c18dff2bf28a",1705181732,"uuid:c8663a0b-964b-41b8-b84d-c18dff2bf28a",94
"24","May 19, 2017 9:07:00 PM","May 19, 2017 1:14:54 PM","May 19, 2017 2:07:26 PM",4,NA,NA,NA,NA,1,NA,"May 19, 2017 1:26:00 PM","v416102",1,62,1,NA,2,5,"L.c 1 Chairman picked me and told me to go for the training.",2,"Am a farmer",NA,NA,NA,NA,NA,NA,NA,1,30,NA,1,30,120,NA,4,2,NA,0,"About HIV patients",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,"Most of them are poor and  its just a wastage if time.","I tell her to report the matter to the L.c.1 chairman.",22,1,1,1,NA,1,5,2,1,3,8,4,NA,"uuid:bbbb494d-a1e8-486c-bed1-08102dc77c70",1705181732,"uuid:bbbb494d-a1e8-486c-bed1-08102dc77c70",94
"25","May 19, 2017 9:07:01 PM","May 19, 2017 3:52:07 PM","May 19, 2017 4:45:19 PM",4,NA,NA,NA,NA,1,NA,"May 19, 2017 4:01:00 PM","v416104",2,55,2,NA,NA,NA,NA,NA,NA,NA,2,4,"I was voted to this post after the incumbent Nabakyala failedto deliver to the peoples expectations.",2,"Am a business woman and a farmer as well ",NA,1,15,NA,1,15,NA,NA,NA,NA,NA,74,"Business consultations.",10,NA,NA,30,15,5,3,10,5,6,"0",0,NA,NA,NA,1,"Their husbands are irresponsible and dont give them money to go for medication as they fear to be apprehended by the law,","Advice the her to change her behaviors as tgis could be the reason to beat her. I also tell her to call in the in-laws to intervene.",27,3,1,1,NA,1,2,1,1,3,8,4,NA,"uuid:b3b6846b-0180-4cca-9fd5-d07828968ff6",1705181732,"uuid:b3b6846b-0180-4cca-9fd5-d07828968ff6",94
"26","May 19, 2017 9:15:18 PM","May 19, 2017 12:09:04 PM","May 19, 2017 12:42:35 PM",2,NA,NA,NA,NA,1,NA,"May 19, 2017 12:11:00 PM","v410032",2,74,2,NA,NA,NA,NA,NA,NA,NA,1,5,"She was  just selected  to be the nabakyala by the community ",2,"She sales matooke from her plantation ",NA,2,1,NA,2,1,NA,NA,NA,NA,NA,7,"0",0,NA,NA,5,0,1,1,0,0,0,"0",0,NA,NA,NA,2,NA,"She would advise her to be strong and look for ways of remaining in their homes. She would  also advise them not to leave their children as this can expose children to lots of suffering.",23,3,1,1,NA,1,2,1,1,3,6,1,NA,"uuid:54867246-daff-427b-b82d-61802f42ddb2",1705181732,"uuid:54867246-daff-427b-b82d-61802f42ddb2",71
"27","May 19, 2017 9:16:25 PM","May 19, 2017 2:47:40 PM","May 19, 2017 3:30:53 PM",2,NA,NA,NA,NA,1,NA,"May 19, 2017 2:49:00 PM","V416234",1,38,1,NA,2,10,"I was selected when tested hiv positive and trained how train others",2,"Farming",NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,20,92,NA,3,3,NA,3,"0",0,NA,NA,3,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"I advise her to go to the lc1 commite",38,2,1,1,NA,2,2,1,1,3,6,4,NA,"uuid:61a22f25-58f9-4a42-bd1f-ef0eb4e1edd2",1705181732,"uuid:61a22f25-58f9-4a42-bd1f-ef0eb4e1edd2",96
"28","May 19, 2017 9:16:24 PM","May 19, 2017 1:44:21 PM","May 19, 2017 2:20:30 PM",2,NA,NA,NA,NA,1,NA,"May 19, 2017 1:56:00 PM","V416232",2,37,1,NA,2,7,"I was first invited for the training then when i came back the village members selected me ",2,"Teaching",NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,10,144,NA,3,2,NA,3,"0",0,NA,NA,3,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"I tell her to report the case to the LC1 ",17,2,1,1,NA,2,1,2,1,3,7,4,NA,"uuid:f04f5e9d-b028-45ab-ae87-da8d7bb17832",1705181732,"uuid:f04f5e9d-b028-45ab-ae87-da8d7bb17832",96
"29","May 19, 2017 9:16:25 PM","May 19, 2017 4:34:21 PM","May 19, 2017 4:53:28 PM",2,NA,NA,NA,NA,1,NA,"May 19, 2017 4:38:00 PM","V416233",2,39,1,NA,2,3,"The chairman and the out going vht asked me to be a vht",2,"Farming",NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,10,30,NA,3,2,NA,2,"0",0,NA,NA,2,0,0,0,0,0,0,"0",0,NA,NA,NA,1,"Lack of support in terms of finances","I first understand why they fight and then i advise them",23,2,1,1,NA,1,2,1,1,3,7,3,NA,"uuid:e1e0178e-fd4c-4ec7-80a6-655a5c11774e",1705181732,"uuid:e1e0178e-fd4c-4ec7-80a6-655a5c11774e",96
"30","May 21, 2017 12:35:33 PM","May 20, 2017 11:42:10 AM","May 20, 2017 12:13:39 PM",7,NA,NA,NA,NA,1,NA,"May 20, 2017 11:51:00 AM","v402072",1,37,1,NA,2,10,"The subcounty requested for VHT'S in each village the LC1 council meeting nominated me",2,"Farming and primary teaching ",NA,NA,NA,NA,NA,NA,NA,1,20,NA,2,60,300,NA,4,1,NA,3,"About Education for children that's guiding for better school ",100,NA,NA,2,1,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"I go and face the husband and try to make him understand the dangers of beating the wife if he insists I refer him to the probation officer.",20,2,1,2,NA,1,2,2,2,3,8,4,NA,"uuid:1adac5b7-d6b7-462a-8af4-c70424bcf9e4",1705181732,"uuid:1adac5b7-d6b7-462a-8af4-c70424bcf9e4",97
"31","May 21, 2017 12:35:32 PM","May 20, 2017 10:42:40 AM","May 20, 2017 11:15:13 AM",7,NA,NA,NA,NA,1,NA,"May 20, 2017 10:52:00 AM","v402071",2,45,2,NA,NA,NA,NA,NA,NA,NA,2,18,"I was elected by community members ",2,"Farming ",NA,2,30,NA,2,3,NA,NA,NA,NA,NA,34,"0",0,NA,NA,25,5,0,0,4,0,0,"0",0,NA,NA,NA,2,NA,"I go to the household and try to reconsile both parties if the situation worsens i take the case to police. ",27,2,1,1,NA,2,1,1,1,3,8,4,NA,"uuid:50d3815a-4bbe-49d4-8fb4-7c7c2c8606e4",1705181732,"uuid:50d3815a-4bbe-49d4-8fb4-7c7c2c8606e4",97
"32","May 21, 2017 12:35:33 PM","May 20, 2017 1:08:45 PM","May 21, 2017 12:20:09 PM",7,NA,NA,NA,NA,1,NA,"May 20, 2017 1:43:00 PM","v402073",2,40,1,NA,2,9,"After the death of my husband because he was the VHT by then he had taught me what to do as a VHT so village members nominated me",2,"Farming",NA,NA,NA,NA,NA,NA,NA,2,3,NA,2,3,100,NA,3,2,NA,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,"To visit the household and try to counsel them and settle the issue but when it doesn't work i refer them to the Nabakyaala",27,2,1,1,NA,1,2,2,2,4,8,4,NA,"uuid:814163e4-a221-46bb-bb51-4717a1923ed5",1705181732,"uuid:814163e4-a221-46bb-bb51-4717a1923ed5",97
"33","May 21, 2017 12:36:33 PM","May 20, 2017 10:35:54 AM","May 20, 2017 10:57:17 AM",3,NA,NA,NA,NA,1,NA,"May 20, 2017 10:36:00 AM","V413124",2,32,1,NA,2,2,"I registered for training for VHT and became one after training",2,"I am a Tailor",NA,NA,NA,NA,NA,NA,NA,1,30,NA,2,1,100,NA,3,2,NA,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,"I make research on the reasons for the violence and find solutions to the grievance",8,3,1,1,NA,1,2,2,1,3,7,2,NA,"uuid:e079c61f-b56a-445a-a3c6-6561545bf6cd",1705181732,"uuid:e079c61f-b56a-445a-a3c6-6561545bf6cd",80
