type,name,label:english,label:luganda,hint:english,hint:luganda,calculation,repeat_count,appearance,constraint,constraint message,relevance,required,choice_filter,required message,read only,media:image,media:audio,media:video,default,disabled,note,response_note,publishable
note,intro,"Introduction: Hello my name is ${enum_string}. I am working with IPA, a nongovernmental organization (NGO). IPA studies development and economics throughout the world. In Uganda we are based in Kampala but we have field offices around the country. We are currently conducting a research study for Donald Green a researcher at Columbia University, and Dickson Malunda, IPA Deputy Country Director, to learn about the views of Ugandans.
Invitation to Participate: This study aims to recruit approximately 11519 people in Ugandan villages. Most of them will be adults between 18 and 65 years of age and some of them will be teenagers of 16 and 17 years of age. Your participation is completely voluntary.  You can refuse to answer the entire survey, stop the survey at any time, or you can tell us when a question makes you uncomfortable and we will skip that question. If you agree to participate, I will ask you some questions about your views on a variety of issues. All answers are accepted. The questions should take approximately 60 minutes to answer depending on how you respond.
Risks: There will be no risk for you or your household if you choose to participate in this study and participating will not stop you from receiving services or assistance from any organization.
Benefits: There will not be any direct benefit to you, such as monetary compensation for participating in this survey. 
Confidentiality: Your participation in this study will be confidential and the answers you provide will be stored securely in the offices of IPA in Kampala. Your name and any other identifying information will be accessible only to the affiliated researchers and will never appear in any sort of report that might be published or shared with organizations who are interested in the results.  
The following individuals and/or agencies will be able to look at and copy your research records: 
• The investigator, study staff and other professionals who may be evaluating the study
• Authorities from Columbia University, including the Institutional Review Board ('IRB')
• The United States Office of Human Research Protections ('OHRP')
Questions & Concerns: Please ask us anything you want to know about this project now or later on.","Introduction: Ssebo/nyabo amanya gange nze ${enum_string}. Nkola n’ekitongole ekya IPA, ekitongole eky’obwannakyewa (NGO). IPA enonyereza kuby’enkulakulana n’ebyenfuna okwetoloola ensi. Mu Uganda tusinziira mu kampala naye tulina ofiisi mu bitundu jetukolera okwetolola eggwanga. Tuli kumusomo gw’okunonyereza ogukulirwa Donald Green, okuva mu tendekero elya wagulu elya Columbia University, ne Dickson Malunda, IPA Deputy Country Director, okuyiga ku ndowooza za bana Uganda.
Invitation to Participate: Omusomo guno gulubirirra okuyingiza abantu nga 11519 mu byalo bya Uganda. Abasinga ku bbo bantu abakulu wakati we myaka 18 ne 65 egyobukulu era abamu ku bbo bajja kuba bavubuka abe myaka 16 ne 17. Twandyagade okukwaniriza okwetaba mu’musomo gwaffe, Okwetabamukwo kwakyeyagalire. Osobola okugaana okuddamu ebibuuzo byonna, okuyimiriza ebibuuzo ekiseera kyonna, oba osobola okutubulira singa ekibuuzo kikumalako emirembe era tujja kubuuka ekibuuzo ekyo. Singa okkiriza okwetabamu, njakukubuuzayo kubibuuzo ebikukwatako nendowooza zoyina ku nsonga ezenjawulo 
Risks: Tewajjakuba buzibu bwona eri ggwe oba abo’mumakaago singa osalawo okwetaba mu musomo guno era okwetabamu kwo tekujja kukutangira kufuna buwereza oba buyambi okuva eri ekitongole ekilala kyonna.
Benefits: Tewajjakuba ky’ofunamu butereevu okugeza nga okuweebwa sente olwokwetaba mu musomo guno.
Confidentiality: Okwetabamukwo mu musomo guno kujjakuba kwakyaama nebyozzeemu bijjakukumiibwa bulungi mu ofiisi za IPA mu kampala. Amannya go n’ebilara ebikukwatako bijjakuba bimanyibwa abo bokka abanonyereza abaninako akakwate era tebifulumizibwe mu kiwandiiko kyonna ekiyinza okufulumizibwa oba okubigabana n’ebitongole ebiyinza okuba n’obwetaavu mw’ebyo ebinaaba bivudemu.
Abantu oba ebitongole bino wamanga bajja kusobola okulaba n’okufuna kubiwandiko oba ebivudde mukunonyereza; 
• Omunonyereza omukulu,abakozi mumusomo guno n’abayivu abayinza okuba mukunonyereza kuno
• Abobuyinza okuva mu Columbia University,ng’otadeko ne Institutional Review Board ('IRB')
• The United States Office of Human Research Protections ('OHRP')
Questions & Concerns: Bambi tubuuze ekintu kyonna ky’oyagala okumanya kubikwata ku pulojekiti eno kati oba edda kundagiliro zino wamanga. ",,,,,,,,,,,,,,,,,,,,
begin group,audio,,,,,,,field-list,,,,,,,,,,,,,,,
note,audio,"Audio Recording: For some questions, we will record your voice while you answer them. The only purpose of this is that we will be able to accurately transcribe your exact answers later on. You can still participate in this study if you choose not to be recorded. ","Audio Recording: Kubibuuzo ebimu,tujjakuba tukwaata eddoboozi lyo nga bwobiddamu.Omugaso gwakino,kwekutusobozesa okuwulira obulungi byonooba ozeemu byenyini ngawayiisewo ekiseera. . Ensonga yokka etukozesa kino, twagala okufuna ky’oddamu mu butuufu bwa’akyo nga tekikyusiddwa yadde, nga kijja kutuyaamba okweyongera okutereka ebivude mu musomo guno. Ebibuuzo bijja kutwala eddakiika nga 60 okusinziira kungeri gy’onooba obizzeemu.Osobola okwetaba mu musomo guno nebwolondawo obutakwata ddoboozi lyo.",,,,,,,,,,,,,,,,,,,,
select_one yesno_consent,audio_consent,Do you agree to be recorded?,Okiriza okukwaata eddoboozi lyo? ,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,audio,,,,,,,,,,,,,,,,,,,,,,
begin group,survey_consent,,,,,,,field-list,,,,,,,,,,,,,,,
note,consent_text,"Consent:  If you agree to participate in the study, please check the box and sign or write your initials or give a thumb print to show that you understand the information above and that your consent is given voluntarily. You may take up to 15 minutes alone to consider whether or not you wish to participate.
I have read the above purpose of the study, and understand my role in participating in the research. I volunteer to take part in this research. I have had a chance to ask questions. If I have questions later, about the research, I can ask the investigator listed above. I understand that I may refuse to participate or withdraw from participation at any time. The investigator may withdraw me at his/her professional discretion. I certify that I am 18 years of age or older and freely give my consent to participate in this study. I will receive a copy of this document for my records.","Consent:  Singa oba okkiriza okwetaba mu musomo, bambi golola mu kabokisi era ssaako omukono oba wandiika ennyukuta ezikulembera amannyago oba teekako ekinkumu kyekigalo ekisajja okulaga nti otegera byetwogeddeko waggulu era nti okukirizakwo kuweereddwayo kyeyagalire. Osobola okutwala eddakika nga kumi nataano ng’oliwekka okusobola okusalawo okugw’etabamu oba tewandiyagadde kugw’etabamu.
Nsomye omugaso gw’omusomo ogwo wagulu,era ntegera obuvunanyizibwa bwange mu kugwetabamu. Newadeyo okugwetabamu.Nfunye omukisa okubuuza ebibuuzo.Bwemba nina ebibuuzo gyebujja,ebikwata kumusomo,nsobola okubuuza omunonyereza awandikidwa wagulu.Ntegera nti nsobola okugaana okwetabamu oba okuva mukunonyereza kuno obudde bwona. Omunonyereza ayinza okunzijjamu nga asinziira ku bukkugubwe. Nzikiriza nti mpeza emyaaka kumi na munaana egy’obukkulu oba n’okusingawo era mpayo okukiriza kwange okwetaba mu musomo guno. Njakufuna kopi y’olupapula luno nga likodi yange.",,,,,,,,,,,,,,,,,,,,
select_one yesno_consent,consent,Would you like to proceed with this survey?,Oyagala okweyongerayo nebibuuzo?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,survey_consent,,,,,,,,,,,,,,,,,,,,,,
begin group,consented,,,,,,,,,,${consent} = 1,,,,,,,,,,,,
note,note_3,"Thank you for agreeing to participate! Now, I'd like to ask a few questions about yourself.",Webaale okukiriza okwetaba mu musomo guno. Kati njagala kukubuuza ebibuuzo ebikukwatako.,,,,,,,,,,,,,,,,,,,,
begin group,section_1,,,,,,,,,,,,,,,,,,,,,,
datetime,date_time,1.2) Please record the date and time of this interview,1.2) Please record the date and time of this interview,,,,,no-calendar,,,,yes,,"Sorry, this response is required.",,,,,,,,,
text,id,1.3) Please enter the respondent ID,1.3) Please enter the respondent ID,,,,,numbers,string-length(.) =8,You must enter 8 numbers.,,yes,,"Sorry, this response is required.",,,,,,,,,
text,id_2,1.4) Please re-enter the respondent ID,1.4) Please re-enter the respondent ID,,,,,numbers,.=${id},Sorry IDs do not match.,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q1_5,district,1.5) District,1.5) District,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q1_6,county,1.6) County,1.6) County,,,,,,,,,yes,filter=${district},"Sorry, this response is required.",,,,,,,,,
select_one q1_7,subcounty,1.7) Subcounty,1.7) Subcounty,,,,,,,,,yes,filter=${county},"Sorry, this response is required.",,,,,,,,,
select_one q1_8,parish,1.8) Parish,1.8) Parish,,,,,,,,,yes,filter=${subcounty} or filter=0,"Sorry, this response is required.",,,,,,,,,
select_one q1_9,tc,1.9) Trading center,1.9) Trading center,What is the name of the trading center that is village is linked to?,What is the name of the trading center that is village is linked to?,,,,,,,yes,filter=${parish} or filter=0,"Sorry, this response is required.",,,,,,,,,
text,village,1.10) Village,1.10) Village,ENUMERATOR: Type the village name.,ENUMERATOR: Type the village name.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
integer,tracking,1.11) ENUMERATOR: How many times has this respondent been visited (including this one)?,1.11) ENUMERATOR: How many times has this respondent been visited (including this one)?,ENUMERATOR: Indicate the number of times this respondent has been tracked in total.,ENUMERATOR: Indicate the number of times this respondent has been tracked in total.,,,,.>0,Sorry this number must be at least 1.,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_1,,,,,,,,,,,,,,,,,,,,,,
begin group,section_2,,,,,,,,,,,,,,,,,,,,,,
calculate_here,time_2,,,,,"once(format-date-time(now(), '%Y-%b-%e %H:%M:%S'))",,,,,,,,,,,,,,,,,
select_one q2_1,sex_q2_1,2.1) OBSERVE: Please observe the sex of the respondent,2.1) OBSERVE: Please observe the sex of the respondent,ENUMERATOR: Do not ask.,ENUMERATOR: Do not ask.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q2_2,day_q2_2,"2.2) To begin, how would you describe your day today - has it been a typical day, a particularly good day, or a particularly bad day? ","2.2) Nga tutandika, olunaku lwo olwalero olunyonyola otya? Lubadde nga olwa’buligyo, nga lulungi nnyo oba nga lubi nnyo?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
integer,age_q2_3,2.3) How old are you?,2.3) Olina emyaka emeka?,,,,,,.>=18 and .<=50,The respondent must be older than 18 and younger than 51. If the respondent is younger than 18 please stop the interview and report the case to your TL immediately.,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q2_4,rel_q2_4,2.4) What is your relationship to the head of the household?,"2.4) Olina Luganda ki ku mukulu, oba nanyini maka?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
text,q2_4_oth,"Other, specify","Ekilala, nyonyola",,,,,,,,${rel_q2_4}=12,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q2_5,status_q2_5,2.5) What is your marital status?,2.5) Mukisera kino oli: [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
text,q2_5_oth,"Other, specify","Ekilala, nyonyola",,,,,,,,${status_q2_5}=8,yes,,"Sorry, this response is required.",,,,,,,,,
begin group,gr2_6,,,,,,,field-list,,,,,,,,,,,,,,,
note,note2_6,I am going to ask you some questions about the members of your household.,Ngenda kukubuzako kubibuzo ebikwata ku bantu bomumaka gano.,,,,,,,,,,,,,,,,,,,,
integer,members_q2_6,2.6) How many people are there in the household including yourself?,2.6) Bantu bameka ababeera mu'maka gano nga nawe webaliddeko?,ENUMERATOR: The value should be at least equal or bigger than 1 (at least the respondent is a member).,ENUMERATOR: The value should be at least equal or bigger than 1 (at least the respondent is a member).,,,,.>=1,"The response cannot be less than 1, as the respondent is a member.",,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr2_6,,,,,,,,,,,,,,,,,,,,,,
integer,child_q2_7,2.7) How many of them are children?,2.7) Bameka kwabo nga'baana?,"ENUMERATOR: We consider "child" a member below the age of 15.""NUMERATOR: We consider "child" a mem""UMERATOR: We","ENUMERATOR: We consider "child" a member below the age of 15.""NUMERATOR: We consider "child" a mem""UMERATOR: We",,,,.<${members_q2_6},Sorry the number you entered is higher than the number of household members.,${members_q2_6}>1,yes,,"Sorry, this response is required.",,,,,,,,,
integer,older_q2_8,2.8) How many of them are older than you?,2.8) Bameka kwaabo abakusingako obukulu?,,,,,,.<${members_q2_6},Sorry the number you entered is higher than the number of household members.,${members_q2_6}>1,yes,,"Sorry, this response is required.",,,,,,,,,
integer,younger_q2_9,2.9) How many of them are younger than you?,2.9) Bameka kwaabo nga batoo ku'gwe?,,,,,,.<${members_q2_6},Sorry the number you entered is higher than the number of household members.,${members_q2_6}>1,yes,,"Sorry, this response is required.",,,,,,,,,
note,q2_9err,"ENUMERATOR: Sorry, the sum of (respondent + members younger than respondent + members older than respondent) does not sum to the total number of household members in question 2.6. Please check before proceeding.","ENUMERATOR: Sorry, the sum of (respondent + members younger than respondent + members older than respondent) does not sum to the total number of household members in question 2.6. Please check before proceeding.",,,,,,,,${older_q2_8}+${younger_q2_9}+1!=${members_q2_6} and ${members_q2_6} !=1,yes,,,,,,,,,,,
integer,born_q2_10,2.10) How many children have you ever had? (Indicate all births),2.10) Bana bameka bewali obaddeko nabo (Laga enzaalo zona),,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_multiple q2_12,lc1_naba_vht_q2_11,"2.11) Are you or is somebody in your family an LC1 chairperson, a Nabakyaala, a VHT or a village committee member? Check all that apply.  ","2.11) Oli, oba waliwo owomumaka/ abengandaa nga' ssentebe wa LC1, nabakyala, VHT, oba owakakiiko ke'kyalo?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
note,q2_12err,"ENUMERATOR: Sorry you can not select "Don’t know" or "Refuse to answer" and anything else.""NUMERATOR: Sorry you can not select "Don’t know" or ""UMERATOR: Sorry","ENUMERATOR: Sorry you can not select "Don’t know" or "Refuse to answer" and anything else.""NUMERATOR: Sorry you can not select "Don’t know" or ""UMERATOR: Sorry",ENUMERATOR: Go back and change your selection.,ENUMERATOR: Go back and change your selection.,,,,,,"(selected(${lc1_naba_vht_q2_11}, '999') or selected(${lc1_naba_vht_q2_11}, '888')) and count-selected(${lc1_naba_vht_q2_11}) >1",yes,,,,,,,,,,,
select_one q2_15,discuss_q2_13,2.12) How often do you discuss things that are going on in your village with your nearby neighbors?,2.12) Di na' di lwoteera okunyumya ku'bintu ebibawo mukyalo kyamwe nabakuliranye?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,big_city_q2_14,"2.13) Have you ever lived or worked in or do you regularly travel to a big city like Masaka town, Jinja or Kampala?  ","2.13) Wali obaddeko, oba okoleddeko, oba otera okugendako, mu kibuuga ekinene nga Masaka, Jinja oba Kampala?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,kla_q2_14,"2.14) Do you have any close relatives such as parents, aunts/uncles, brothers/sisters or children who live in Kampala?","2.14) Olina abengandaa bonna abokulusegere nga'abazadde, ssenge/kojja, bagandabo/banyoko oba abaaana ababeera e'Kampala?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno,vill16_q2_15,"2.15) When you were 16 years old, were you living in this same village?","2.15) Bwewali nga olina emyaka 16 egyobukulu, wali obeera ku kyalo kino kyenyini?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q2_21,educ_q2_21,2.16) What is your highest completed grade at school? ,2.16) Dala ki eryobuyigirize lyewamalako?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q2_22,read_q2_22,2.17) Can you read and write?,2.17) Can you read and write?,,,,,,,,${educ_q2_21}<=7,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q2_22,read_q2_22b,"2.17) So, I assume you can read and write, right?","2.17) So, I assume you can read and write, right?",,,,,,,,${educ_q2_21}>7,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q2_23,lang_q2_23,2.18) What is the main language you speak at home?,2.18) Lulimi ki lwemusinga okwogera awaka? ,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
text,q2_23_oth,"Other, specify","Ekilala, nyonyola",,,,,,,,${lang_q2_23}=36,yes,,"Sorry, this response is required.",,,,,,,,,
select_multiple q2_24,other_lang_q2_24,2.19) Which other languages do you speak? (Indicate all that apply),2.19) Nimi ki endala zo'yogeera?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
note,q2_24err,"ENUMERATOR: Sorry you can not select "None", "Don’t know" or "Refuse to answer" and anything else.""NUMERATOR: Sorry you can not select "None", "Don’t know" or ""UMERATOR: Sorry you can","ENUMERATOR: Sorry you can not select "None", "Don’t know" or "Refuse to answer" and anything else.""NUMERATOR: Sorry you can not select "None", "Don’t know" or ""UMERATOR: Sorry you can",ENUMERATOR: Go back and change your selection.,ENUMERATOR: Go back and change your selection.,,,,,,"(selected(${other_lang_q2_24}, '37') or selected(${other_lang_q2_24}, '999') or selected(${other_lang_q2_24}, '888')) and count-selected(${other_lang_q2_24}) >1",yes,,,,,,,,,,,
text,q2_24_oth,"Other, specify","Ekilala, nyonyola",,,,,,,,"selected(${other_lang_q2_24}, '36')",yes,,"Sorry, this response is required.",,,,,,,,,
select_one q2_25,tribe_q2_25,2.20) To which tribe do you belong?,2.20) Oliwagwanga ki?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
text,q2_25_oth,"Other, specify","Ekilala, nyonyola",,,,,,,,${tribe_q2_25}=33,yes,,"Sorry, this response is required.",,,,,,,,,
calculate_here,tribe1,,,,,"jr:choice-name(${tribe_q2_25}, '${tribe_q2_25}')",,,,,${tribe_q2_25} !=31 and ${tribe_q2_25} !=32 and ${tribe_q2_25} !=33 and ${tribe_q2_25} !=888 and ${tribe_q2_25} !=999,,,,,,,,,,,,
select_one q2_25_2,uga_q2_22,"2.21) Which feels more important to you between being a Ugandan and being a ${tribe1}?
Which of the following statements best expresses your feelings? [READ OUT]",2.21) Kiliwa ekisinga okuba ekyamakulu jooli wakati wokubeera munna'uganda no'kubeera o' ${tribe1}? Eliwa ku'zino sitatimenti esinga okujjayo kyowulira? [READ OUT],,,,,,,,${tribe_q2_25} !=31 and ${tribe_q2_25} !=32 and ${tribe_q2_25} !=33 and ${tribe_q2_25} !=888 and ${tribe_q2_25} !=999,,,,,,,,,,,,
select_one q2_25_3,uga_q2_22b,"2.21) Which feels more important to you between being a Ugandan  and being a ${q2_25_oth}?
Which of the following statements best expresses your feelings? [READ OUT]",2.21) Kiliwa ekisinga okuba ekyamakulu jooli wakati wokubeera munna'uganda no'kubeera o' ${tribe1}? Eliwa ku'zino sitatimenti esinga okujjayo kyowulira? [READ OUT],,,,,,,,${tribe_q2_25}=33,yes,,,,,,,,,,,
end group,section_2,,,,,,,,,,,,,,,,,,,,,,
begin group,section_3,,,,,,,,,,,,,,,,,,,,,,
calculate_here,time_3,,,,,"once(format-date-time(now(), '%Y-%b-%e %H:%M:%S'))",,,,,,,,,,,,,,,,,
select_one q3_1,activity_q3_1,3.1) What is the main activity that you spend the most time on during the day?,3.1) Mulimu ki omukulu gwosinga okumalirako ebisera ebiwanvu olunaku?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
text,q3_1_oth,"Other, specify","Ekilala, nyonyola",,,,,,,,${activity_q3_1}=15,yes,,"Sorry, this response is required.",,,,,,,,,
select_multiple q3_2,free_time_q3_2,3.2) Think of the way you would spend time when you don’t have work to do. Here is a set of cards showing different activities. Please consider the following activities and pick the four you prefer most.,3.2) Wano waliwo obukadi obulaga emirimu egyenjawulo. Lowooza kungeri gyokozesamu obudde nga tolina mirimu gyokola. Lowooza kubintu bino olondeko ebintu bina byewandiyagadde.,,,,,,count-selected(.)<=4,"Sorry, you can select a maximum of four options.",,yes,,"Sorry, this response is required.",,,,,,,,,
note,q3_2err,"ENUMERATOR: Sorry you can not select "None", "Don’t know" or "Refuse to answer" and anything else.""NUMERATOR: Sorry you can not select "None", "Don’t know" or ""UMERATOR: Sorry you can","ENUMERATOR: Sorry you can not select "None", "Don’t know" or "Refuse to answer" and anything else.""NUMERATOR: Sorry you can not select "None", "Don’t know" or ""UMERATOR: Sorry you can",ENUMERATOR: Go back and change your selection.,ENUMERATOR: Go back and change your selection.,,,,,,"(selected(${free_time_q3_2}, '999') or selected(${free_time_q3_2}, '888')) and count-selected(${free_time_q3_2}) >1",yes,,,,,,,,,,,
select_multiple q3_5,convers_q3_3,"3.3) Think about the conversations you have had with friends or family over the past week. Which of the following topics did you discuss, if any? [READ OUT]","3.3) Lowooza ku mboozi z'onyumizza n'emikwanogyo oba aboluganda mu wiiki ewedde. Biki kubino byemukubaganyizaako ebilowoozo, bwekuba nga kuliko? [READ OUT]",ENUMERATOR: Indicate all that apply.,ENUMERATOR: Indicate all that apply.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
note,q3_3err,"ENUMERATOR: Sorry you can not select "None of the above", "Don’t know" or "Refuse to answer" and anything else.""NUMERATOR: Sorry you can not select "None of the above", "Don’t know" or ""UMERATOR: Sorry you can not select """","ENUMERATOR: Sorry you can not select "None of the above", "Don’t know" or "Refuse to answer" and anything else.""NUMERATOR: Sorry you can not select "None of the above", "Don’t know" or ""UMERATOR: Sorry you can not select """",ENUMERATOR: Go back and change your selection.,ENUMERATOR: Go back and change your selection.,,,,,,"(selected(${convers_q3_3}, '999') or selected(${convers_q3_3}, '888') or selected(${convers_q3_3}, '8')) and count-selected(${convers_q3_3}) >1",yes,,,,,,,,,,,
end group,section_3,,,,,,,,,,,,,,,,,,,,,,
begin group,section_4,,,,,,,,,,,,,,,,,,,,,,
calculate_here,time_4,,,,,"once(format-date-time(now(), '%Y-%b-%e %H:%M:%S'))",,,,,,,,,,,,,,,,,
select_one q4_2,news_q4_1,"4.1) How often do you read or listen to news on current events happening in Uganda from any source, be it radio, television, newspapers, internet, social media such as Facebook?","4.1) Otera kusoma ddi, oba okuwulira amawulire ku bigenda mu'maaso mu Uganda nga'okuzesa radiyo, terefayina, amawulire gempapula, omutimbagano , nemikutu mikwanira wala nga facebook?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q4_2_3,oly_q4_2,4.2) The 2016 Olympic games took place a couple of month ago. Do you happen to recall in what country the Olympic games were held? Which country was that?,"4.2) Emizanyo gya olympics 2016, gyabddewo emyezi mitono egiyise. Osobola okuba nga ojjukila ensi emizanyo jino gyegyabaddemu? Yabadde nsi ki?",ENUMERATOR: Do not read out the options.,ENUMERATOR: Do not read out the options.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q4_2_2,africa_cup_q4_3,4.3) Which country did the Ugandan soccer team defeat in order to qualify for the Africa Cup of Nations ?  ,4.3) Nsi kii Uganda gyeyawangula okusobola okuyitawo okwetaba mu gya Africa?,ENUMERATOR: Do not read out the options.,ENUMERATOR: Do not read out the options.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q4_1,watchTV_q4_1,"4.4) On a typical day, how long did you spend watching TV in the last seven days, either at home or elsewhere? [READ OUT]","4.4) Kulunaku olwabulijjo,wamala ebisera byenkanawa nga olaba TV munaku omusanvu oguyise wadde wakka oba awalala? [READ OUT]",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q4_2,mobile_q4_2,"4.5) How often do you use a mobile phone (to call, text, play games, etc.)? ","4.5) Di nadi Lwokozesa esimu eyomungalo (okkuba, kuwereza bubaka, kuzanyirako obuzanyo nebilara)?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_4,,,,,,,,,,,,,,,,,,,,,,
begin group,section_5,,,,,,,,,,,,,,,,,,,,,,
calculate_here,time_5,,,,,"once(format-date-time(now(), '%Y-%b-%e %H:%M:%S'))",,,,,,,,,,,,,,,,,
select_one q5_1,living_cond_q5_1,"5.1) In general, how do you rate your living conditions compared to those of others in the village? [READ OUT]",5.1) Mukutwaliza awamu embeera y’obulamubwo ojjigerageranya otya neya abantu abalala abokukyalo? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q5_1,living_tribe_q5_2,"5.2) Think about the condition of ${tribe1}. Are their economic conditions worse, the same as, or better than other groups in this country?","5.2) Lowooza ku mbeera yo ${tribe1}. Embeera zabwe ezebyenfuna mbi nnyo, zezimu, oba zisingako obulungi ku'zamawanga amalala mu'ggwanga lino?",,,,,,,,${tribe_q2_25} !=31 and ${tribe_q2_25} !=32 and ${tribe_q2_25} !=33 and ${tribe_q2_25} !=888 and ${tribe_q2_25} !=999,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q5_1,living_tribe_q5_2b,"5.2) Think about the condition of ${q2_25_oth}. Are their economic conditions worse, the same as, or better than other groups in this country?","5.2) Lowooza ku mbeera yo ${q2_25_oth}. Embeera zabwe ezebyenfuna mbi nnyo, zezimu, oba zisingako obulungi ku'zamawanga amalala mu'ggwanga lino?",,,,,,,,${tribe_q2_25}=33,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q5_1,cond_parents_q5_3,"5.3) Compared to your parents when they were the age you are now, do you think your own standard of living now is better, about the same, or worse than theirs was?","5.3) Okugeregeranya nebazaddebo nga bakyali mu myaka gyolimu kati, olowooza embeerazo zoberamu nungi okusingako, zezimu, oba mbi okusinga ku'zabwe?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q5_1,cond_children_q5_4,"5.4) When your children are at the age you are now, do you think their standard of living will be better, about the same, or worse than yours is now? ","5.4) Abaanabo bwebanabeera ku myaka joliko kati, embeera zobulamu bwabwe, zinabeera nungi okusingako, zezimu, oba zinabeera mbi okusingako bwoli kati?","ENUMERATOR: If you do not have children, think of your youngest nieces, nephews or cousins.","ENUMERATOR: If you do not have children, think of your youngest nieces, nephews or cousins.",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
calculate,randomdraw1,,,,,once(random()),,,,,,,,,,,,,,,,,
