type,name,label:english,label:luganda,hint,hint:luganda,calculation,repeat_count,appearance,constraint,constraint message,relevance,required,choice_filter,required message,read only,media:image,media:audio,media:video,default,disabled,note,response_note,publishable
note,intro,"Introduction: Hello my name is ${enum_string}. I am working with IPA, a nongovernmental organization (NGO). IPA studies development and economics throughout the world. In Uganda we are based in Kampala but we have field offices around the country. We are currently conducting a research study for Donald Green a researcher at Columbia University, and Dickson Malunda, IPA Deputy Country Director, to learn about the views of Ugandans.
Invitation to Participate: This study aims to recruit approximately 13759 people in Ugandan villages. Most of them will be adults between 18 and 50 years of age and some of them will be teenagers between 15 and 17 years of age. Your participation is completely voluntary.  You can refuse to answer the entire survey, stop the survey at any time, or you can tell us when a question makes you uncomfortable and we will skip that question. If you agree to participate, I will ask you some questions about your views on a variety of issues. All answers are accepted. The questions should take approximately 60 minutes to answer depending on how you respond.
Risks: There will be no risk for you or your household if you choose to participate in this study and participating will not stop you from receiving services or assistance from any organization.
Benefits: There will not be any direct benefit to you, such as monetary compensation for participating in this survey. 
Confidentiality: Your participation in this study will be confidential and the answers you provide will be stored securely in the offices of IPA in Kampala. Your name and any other identifying information will be accessible only to the affiliated researchers and will never appear in any sort of report that might be published or shared with organizations who are interested in the results.  
The following individuals and/or agencies will be able to look at and copy your research records: 
• The investigator, study staff and other professionals who may be evaluating the study
• Authorities from Columbia University, including the Institutional Review Board ('IRB')
• The United States Office of Human Research Protections ('OHRP')
Questions & Concerns: Please ask us anything you want to know about this project now or later on.","Introduction: Ssebo/nyabo amanya gange nze ${enum_string}. Nkola n’ekitongole ekya IPA, ekitongole eky’obwannakyewa (NGO). IPA enonyereza kuby’enkulakulana n’ebyenfuna okwetoloola ensi. Mu Uganda tusinziira mu kampala naye tulina ofiisi mu bitundu jetukolera okwetolola eggwanga. Tuli kumusomo gw’okunonyereza ogukulirwa Donald Green, okuva mu tendekero elya wagulu elya Columbia University, ne Dickson Malunda, IPA Deputy Country Director, okuyiga ku ndowooza za bana Uganda.
Invitation to Participate: Omusomo guno gulubirirra okuyingiza abantu nga 13759 mu byalo bya Uganda. Abasinga ku bbo bantu abakulu wakati we myaka 18 ne 65 egyobukulu era abamu ku bbo bajja kuba abavubuka wakati we'myaka 15 ne 17. Twandyagade okukwaniriza okwetaba mu’musomo gwaffe, Okwetabamukwo kwakyeyagalire. Osobola okugaana okuddamu ebibuuzo byonna, okuyimiriza ebibuuzo ekiseera kyonna, oba osobola okutubulira singa ekibuuzo kikumalako emirembe era tujja kubuuka ekibuuzo ekyo. Singa okkiriza okwetabamu, njakukubuuzayo kubibuuzo ebikukwatako nendowooza zoyina ku nsonga ezenjawulo. Byonoddamu byona bikirizibwa. Ebibuuzo byakutwala edakiika nga nkaaga okusinziira ku ngeri gyonoddamu.
Risks: Tewajjakuba buzibu bwona eri ggwe oba abo’mumakaago singa osalawo okwetaba mu musomo guno era okwetabamu kwo tekujja kukutangira kufuna buwereza oba buyambi okuva eri ekitongole ekilala kyonna.
Benefits: Tewajjakuba ky’ofunamu butereevu okugeza nga okuweebwa sente olwokwetaba mu musomo guno.
Confidentiality: Okwetabamukwo mu musomo guno kujjakuba kwakyaama nebyozzeemu bijjakukumiibwa bulungi mu ofiisi za IPA mu kampala. Amannya go n’ebilara ebikukwatako bijjakuba bimanyibwa abo bokka abanonyereza abaninako akakwate era tebifulumizibwe mu kiwandiiko kyonna ekiyinza okufulumizibwa oba okubigabana n’ebitongole ebiyinza okuba n’obwetaavu mw’ebyo ebinaaba bivudemu.
Abantu oba ebitongole bino wamanga bajja kusobola okulaba n’okufuna kubiwandiko oba ebivudde mukunonyereza; 
• Omunonyereza omukulu,abakozi mumusomo guno n’abayivu abayinza okuba mukunonyereza kuno
• Abobuyinza okuva mu Columbia University,ng’otadeko ne Institutional Review Board ('IRB')
• The United States Office of Human Research Protections ('OHRP')
Questions & Concerns: Bambi tubuuze ekintu kyonna ky’oyagala okumanya kubikwata ku pulojekiti eno kati oba edda kundagiliro zino wamanga. ",,,,,,,,,,,,,,,,,,,,
begin group,survey_consent,,,,,,,field-list,,,,,,,,,,,,,,,
note,consent_text,"Consent: If you agree to participate in the study, please check the box and sign or write your initials or give a thumb print to show that you understand the information above and that your consent is given voluntarily. You may take up to 15 minutes alone to consider whether or not you wish to participate.
I have read the above purpose of the study, and understand my role in participating in the research. I volunteer to take part in this research. I have had a chance to ask questions. If I have questions later, about the research, I can ask the investigator listed above. I understand that I may refuse to participate or withdraw from participation at any time. The investigator may withdraw me at his/her professional discretion. I certify that I am 18 years of age or older and freely give my consent to participate in this study. I will receive a copy of this document for my records.","Consent: Singa oba okkiriza okwetaba mu musomo, bambi golola mu kabokisi era ssaako omukono oba wandiika ennyukuta ezikulembera amannyago oba teekako ekinkumu kyekigalo ekisajja okulaga nti otegera byetwogeddeko waggulu era nti okukirizakwo kuweereddwayo kyeyagalire. Osobola okutwala eddakika nga kumi nataano ng’oliwekka okusobola okusalawo okugw’etabamu oba tewandiyagadde kugw’etabamu.
Nsomye omugaso gw’omusomo ogwo wagulu,era ntegera obuvunanyizibwa bwange mu kugwetabamu. Newadeyo okugwetabamu.Nfunye omukisa okubuuza ebibuuzo.Bwemba nina ebibuuzo gyebujja,ebikwata kumusomo,nsobola okubuuza omunonyereza awandikidwa wagulu.Ntegera nti nsobola okugaana okwetabamu oba okuva mukunonyereza kuno obudde bwona. Omunonyereza ayinza okunzijjamu nga asinziira ku bukkugubwe. Nzikiriza nti mpeza emyaaka kumi na munaana egy’obukkulu oba n’okusingawo era mpayo okukiriza kwange okwetaba mu musomo guno. Njakufuna kopi y’olupapula luno nga likodi yange.",,,,,,,,,,,,,,,,,,,,
select_one yesno_consent,consent,Would you like to proceed with this survey?,Oyagala okweyongerayo nebibuuzo?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,survey_consent,,,,,,,,,,,,,,,,,,,,,,
begin group,consented,,,,,,,,,,${consent} = 1,,,,,,,,,,,,
note,note_3,"Thank you for agreeing to participate! Now, I'd like to ask a few questions about yourself.",Webaale okukiriza okwetaba mu musomo guno. Kati njagala kukubuuza ebibuuzo ebikukwatako.,,,,,,,,,,,,,,,,,,,,
audio audit,audit,,,,,,,p=50;s=0-2700;d=300,,,,,,,,,,,,,,,
begin group,section_1,,,,,,,,,,,,,,,,,,,,,,
select_one status,resp_status,ENUMERATOR: Select the status of the respondent,ENUMERATOR: Select the status of the respondent,"ENUMERATOR: Please select whether the respondent is a ""complier"" or a ""new respondent"" looking at the tracking sheet.","ENUMERATOR: Please select whether the respondent is a ""complier"" or a ""new respondent"" looking at the tracking sheet.",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,resp_interviewed,"Just to confirm our records, did you speak with an interviewer in the fall?","Okukakasa ebiwandiko byetulina, wayogera ko no'omunyonyereza mu myezi ejasembayo mu mwaka oguwedde?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
datetime,date_time,1.2) Please record the date and time of this interview,1.2) Please record the date and time of this interview,,,,,no-calendar,,,,yes,,"Sorry, this response is required.",,,,,,,,,
begin group,intro_compliers,,,,,,,,,,${resp_status}=1,,,,,,,,,,,,
text,id_c,1.3) Please enter the respondent ID,1.3) Please enter the respondent ID,,,,,numbers,string-length(.) =8,,,yes,,"Sorry, this response is required.",,,,,,,,,
text,id_2_c,1.4) Please re-enter the respondent ID,1.4) Please re-enter the respondent ID,,,,,numbers,.=${id_c},Sorry IDs do not match.,,yes,,"Sorry, this response is required.",,,,,,,,,
calculate,resp_name_calc,Respondent's name,Respondent's name,,,"pulldata('adults_tracking_info','resp_name','id',${id_c})",,,,,,,,,,,,,,,,,
select_one yesno_consent,resp_name_check,1.5) Are you ${resp_name_calc}?,1.5) Bakuyita ${resp_name_calc}?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
note,name_err,"ENUMERATOR: Please, verify ID and name on the tracking sheet, then go back and change your answer. If you cannot solve the issue call your Team Leader immediately.","ENUMERATOR: Please, verify ID and name on the tracking sheet, then go back and change your answer. If you cannot solve the issue call your Team Leader immediately.",,,,,,,,${resp_name_check}=2,yes,,,,,,,,,,,
calculate,resp_phone1_calc,Respondent's phone number 1,Respondent's phone number 1,,,"pulldata('adults_tracking_info','resp_phone1','id',${id_c})",,,,,,,,,,,,,,,,,
calculate,resp_phone2_calc,Respondent's phone number 2,Respondent's phone number 2,,,"pulldata('adults_tracking_info','resp_phone2','id',${id_c})",,,,,,,,,,,,,,,,,
text,resp_phone1_check,1.6) Respondent's phone number 1,1.6) Respondent's phone number 1,ENUMERATOR: If the respondent doesn't have a phone number put 999.,ENUMERATOR: If the respondent doesn't have a phone number put 999.,"pulldata('adults_tracking_info','resp_phone1','id',${id_c})",,numbers,string-length(.) =9 or . =999,,,yes,,"Sorry, this response is required.",,,,,,,,,
text,resp_phone2_check,1.7) Respondent's phone number 2,1.7) Respondent's phone number 2,ENUMERATOR: If the respondent doesn't have a phone number put 999.,ENUMERATOR: If the respondent doesn't have a phone number put 999.,"pulldata('adults_tracking_info','resp_phone2','id',${id_c})",,numbers,string-length(.) =9 or . =999,,"${resp_phone1_check}!=""999""",yes,,"Sorry, this response is required.",,,,,,,,,
text,head_name_c,1.8) Household head's name,1.8) Household head's name,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
calculate,district_calc,1.9) District,1.9) District,,,"pulldata('adults_tracking_info','district','id',${id_c})",,,,,,,,,,,,,,,,,
calculate,county_calc,1.10) County,1.10) County,,,"pulldata('adults_tracking_info','county','id',${id_c})",,,,,,,filter=${district},,,,,,,,,,
calculate,subcounty_calc,1.11) Subcounty,1.11) Subcounty,,,"pulldata('adults_tracking_info','subcounty','id',${id_c})",,,,,,,filter=${county},,,,,,,,,,
calculate,parish_calc,1.12) Parish,1.12) Parish,,,"pulldata('adults_tracking_info','parish','id',${id_c})",,,,,,,filter=${subcounty} or filter=0,,,,,,,,,,
calculate,tc_calc,1.13) Trading center,1.13) Trading center,,,"pulldata('adults_tracking_info','tc','id',${id_c})",,,,,,,filter=${parish} or filter=0,,,,,,,,,,
select_one yesno_consent,tc_check,1.13b) Is this ${tc_calc} trading center?,1.13b) Eno ye ${tc_calc} senta?,,,,,,,,,,,,,,,,,,,,
note,tc_err,"ENUMERATOR: Please, verify the trading center name on the tracking sheet, then change your response. If you cannot solve the issue call your Team Leader immediately.","ENUMERATOR: Please, verify the trading center name on the tracking sheet, then change your response. If you cannot solve the issue call your Team Leader immediately.",,,,,,,,${tc_check}=2,yes,,,,,,,,,,,
text,village_check,1.10) Village,1.10) Village,ENUMERATOR: Type the village name.,ENUMERATOR: Type the village name.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,intro_compliers,,,,,,,,,,,,,,,,,,,,,,
begin group,intro_new,,,,,,,,,,${resp_status}=2,,,,,,,,,,,,
text,id,1.3) Please enter the respondent ID,1.3) Please enter the respondent ID,,,,,,string-length(.) =9,You must enter 9 numbers.,,yes,,"Sorry, this response is required.",,,,,,,,,
text,id_2,1.4) Please re-enter the respondent ID,1.4) Please re-enter the respondent ID,,,,,,.=${id},Sorry IDs do not match.,,yes,,"Sorry, this response is required.",,,,,,,,,
text,resp_name,1.5) Respondent's name,1.5) Respondent's name,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
text,resp_phone1,1.6) Respondent's phone number 1,1.6) Respondent's phone number 1,ENUMERATOR: Input 9 digits (the number without the initial 0). If the respondent doesn't have a phone number put 999.,ENUMERATOR: Input 9 digits (the number without the initial 0). If the respondent doesn't have a phone number put 999.,,,numbers,string-length(.) =9 or . =999,,,yes,,"Sorry, this response is required.",,,,,,,,,
text,resp_phone2,1.7) Respondent's phone number 2,1.7) Respondent's phone number 2,ENUMERATOR: Input 9 digits (the number without the initial 0). If the respondent doesn't have a phone number put 999.,ENUMERATOR: Input 9 digits (the number without the initial 0). If the respondent doesn't have a phone number put 999.,,,numbers,string-length(.) =9 or . =999,,,yes,,"Sorry, this response is required.",,,,,,,,,
text,head_name,1.8) Household head's name,1.8) Household head's name,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q1_5,district,1.9) District,1.9) District,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q1_6,county,1.10) County,1.10) County,,,,,,,,,yes,filter=${district},"Sorry, this response is required.",,,,,,,,,
select_one q1_7,subcounty,1.11) Subcounty,1.11) Subcounty,,,,,,,,,yes,filter=${county},"Sorry, this response is required.",,,,,,,,,
select_one q1_8,parish,1.12) Parish,1.12) Parish,,,,,,,,,yes,filter=${subcounty} or filter=0,"Sorry, this response is required.",,,,,,,,,
select_one q1_9,tc,1.13) Trading center,1.13) Trading center,What is the name of the trading center that is village is linked to?,What is the name of the trading center that is village is linked to?,,,,,,,yes,filter=${parish} or filter=0,"Sorry, this response is required.",,,,,,,,,
text,village,1.14) Village,1.14) Village,ENUMERATOR: Type the village name.,ENUMERATOR: Type the village name.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,intro_new,,,,,,,,,,,,,,,,,,,,,,
end group,section_1,,,,,,,,,,,,,,,,,,,,,,
begin group,section_2,,,,,,,,,,,,,,,,,,,,,,
select_one q2_1,sex_q2_1,2.1) OBSERVE: Please observe the sex of the respondent,2.1) OBSERVE: Please observe the sex of the respondent,ENUMERATOR: Do not ask.,ENUMERATOR: Do not ask.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q2_2,day_q2_2,"2.2) To begin, how would you describe your day today - has it been a typical day, a particularly good day, or a particularly bad day? ","2.2) Nga tutandika, olunaku lwo olwalero olunyonyola otya? Lubadde nga olwa’buligyo, nga lulungi nnyo oba nga lubi nnyo?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
integer,age_q2_3_c,2.3) How old are you?,2.3) Olina emyaka emeka?,,,,,,.>=18 and .<=50,The respondent must be older than 18 and younger than 67. If the respondent is younger than 18 please stop the interview and report the case to your TL immediately.,${resp_status}=1,yes,,"Sorry, this response is required.",,,,,,,,,
integer,age_q2_3,2.3) How old are you?,2.3) Olina emyaka emeka?,,,,,,.>=18 and .<=66,The respondent must be older than 18 and younger than 51. If the respondent is younger than 18 please stop the interview and report the case to your TL immediately.,${resp_status}=2,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q2_4,rel_q2_4,2.4) What is your relationship to the head of the household?,"2.4) Olina Luganda ki ku mukulu, oba nanyini maka?",,,,,,,,${resp_status}=2,yes,,"Sorry, this response is required.",,,,,,,,,
text,q2_4_oth,"Other, specify","Ekilala, nyonyola",,,,,,,,${rel_q2_4}=12,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q2_5,status_q2_5,2.5) What is your marital status? [READ OUT],2.5) Mukisera kino oli: [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
text,q2_5_oth,"Other, specify","Ekilala, nyonyola",,,,,,,,${status_q2_5}=8,yes,,"Sorry, this response is required.",,,,,,,,,
select_multiple q2_12,lc1_naba_vht_q2_11,"2.6) Are you or is somebody in your family an LC1 chairperson, a Nabakyaala, a VHT or a village committee member? Check all that apply.  ","2.6) Oli, oba waliwo owomumakago oba famile yo nga' ssentebe wa LC1, nabakyala, VHT, oba owakakiiko ke'kyalo?",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
note,q2_12err,"ENUMERATOR: Sorry you can not select ""Don’t know"" or ""Refuse to answer"" and anything else.","ENUMERATOR: Sorry you can not select ""Don’t know"" or ""Refuse to answer"" and anything else.",ENUMERATOR: Go back and change your selection.,ENUMERATOR: Go back and change your selection.,,,,,,"(selected(${lc1_naba_vht_q2_11}, '999') or selected(${lc1_naba_vht_q2_11}, '888')) and count-selected(${lc1_naba_vht_q2_11}) >1",yes,,,,,,,,,,,
select_one q2_21,educ_q2_21,2.7) What is your highest completed grade at school? ,2.7) Dala ki eryobuyigirize lyewamalako?,,,,,,,,${resp_status}=2,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q2_22,read_q2_22,2.8) Can you read and write?,2.8) Can you read and write?,,,,,,,,${educ_q2_21}<=7,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q2_22,read_q2_22b,"2.8) So, I assume you can read and write, right?","2.8) So, I assume you can read and write, right?",,,,,,,,${educ_q2_21}>7,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q2_23,lang_q2_23,2.9) What is the main language you speak at home?,2.9) Lulimi ki lwemusinga okwogera awaka? ,,,,,,,,${resp_status}=2,yes,,"Sorry, this response is required.",,,,,,,,,
text,q2_23_oth,"Other, specify","Ekilala, nyonyola",,,,,,,,${lang_q2_23}=36,yes,,"Sorry, this response is required.",,,,,,,,,
select_multiple q2_24,other_lang_q2_24,2.10) Which other languages do you speak? (Indicate all that apply),2.10) Nimi ki endala zo'yogeera?,,,,,,,,${resp_status}=2,yes,,"Sorry, this response is required.",,,,,,,,,
note,q2_24err,"ENUMERATOR: Sorry you can not select ""None"", ""Don’t know"" or ""Refuse to answer"" and anything else.","ENUMERATOR: Sorry you can not select ""None"", ""Don’t know"" or ""Refuse to answer"" and anything else.",ENUMERATOR: Go back and change your selection.,ENUMERATOR: Go back and change your selection.,,,,,,"(selected(${other_lang_q2_24}, '37') or selected(${other_lang_q2_24}, '999') or selected(${other_lang_q2_24}, '888')) and count-selected(${other_lang_q2_24}) >1",yes,,,,,,,,,,,
text,q2_24_oth,"Other, specify","Ekilala, nyonyola",,,,,,,,"selected(${other_lang_q2_24}, '36')",yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_2,,,,,,,,,,,,,,,,,,,,,,
begin group,section_3,,,,,,,,,,,,,,,,,,,,,,
select_one q3_1,activity_q3_1,3.1) What is the main activity that you spend the most time on during the day?,3.1) Mulimu ki omukulu gwosinga okumalirako ebisera ebiwanvu olunaku?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
text,q3_1_oth,"Other, specify","Ekilala, nyonyola",,,,,,,,${activity_q3_1}=15,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q2_15,frequency_discussion_q3_1,3.2) How often do you discuss things that are going on in your village with your nearby neighbors? [READ OUT],3.2) Ddi na Ddi lwonyumya ku nsonga z'okukyaalo ne balilwana? [READ OUT],,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_multiple q3_5,convers_q3_3,"3.3) Think about the conversations you have had with friends or family over the past week. Which of the following topics did you discuss, if any? [READ OUT]","3.3) Lowooza ku mboozi z'onyumizza n'emikwanogyo oba aboluganda mu wiiki ewedde. Biki kubino byemukubaganyizaako ebilowoozo, bwekuba nga kuliko? [READ OUT]",ENUMERATOR: Indicate all that apply.,ENUMERATOR: Indicate all that apply.,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
note,q3_3err,"ENUMERATOR: Sorry you can not select ""None of the above"", ""Don’t know"" or ""Refuse to answer"" and anything else.","ENUMERATOR: Sorry you can not select ""None of the above"", ""Don’t know"" or ""Refuse to answer"" and anything else.",ENUMERATOR: Go back and change your selection.,ENUMERATOR: Go back and change your selection.,,,,,,"(selected(${convers_q3_3}, '999') or selected(${convers_q3_3}, '888') or selected(${convers_q3_3}, '8')) and count-selected(${convers_q3_3}) >1",yes,,,,,,,,,,,
integer,granchildren_q3_4,3.4) Looking into the future how many children do you think your children should each have?,"3.4) Bw'otunulira ebiseera byomumaso, olowoza buli mwaanawo yandibade abera na abaana bameka?","ENUMERATOR: Put 999 for ""Don't know"" and 888 for ""Refuse to answer""","ENUMERATOR: Put 999 for ""Don't know"" and 888 for ""Refuse to answer""",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q3_5b,granchildren_boys_q3_5,3.4b) Ideally what proportion of them would you like to be boys?,3.4b) Mukulabakwo bammeka kwabo bewandiyagadde okuba abalenzi?,,,,,,,,${granchildren_q3_4}!=0 and ${granchildren_q3_4}!=999 and ${granchildren_q3_4}!=888,yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_3,,,,,,,,,,,,,,,,,,,,,,
begin group,section_4,,,,,,,,,,,,,,,,,,,,,,
text,food_q4_2,4.1) What is your favourite food?,4.1) Mere ki gyosinga okwagala?,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q4_2,news_q4_1,"4.2) How often do you read or listen to news on current events happening in Uganda from any source, be it radio, television, newspapers, internet, social media such as Facebook? [READ OUT]","4.2) Otera kusoma ddi, oba okuwulira amawulire ku bigenda mu'maaso mu Uganda nga okozesa omukutu gwona okugeza nga radiyo, terefayina, amawulire gempapula, omutimbagano , nemikutu mikwanira wala nga facebook? [READ OUT]",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q4_1,watchTV_q4_1,"4.3) On a typical day, how long did you spend watching TV in the last seven days, either at home or elsewhere? [READ OUT]","4.3) Kulunaku olwabulijjo,wamala ebisera byenkanawa nga olaba TV munaku omusanvu eziyise wadde wakka oba awalala? [READ OUT]",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one q4_2,mobile_q4_2,"4.4) How often do you use a mobile phone (to call, text, play games, etc.)? [READ OUT]","4.4) Di na di Lwokozesa esimu eyomungalo (okkuba, kuwereza bubaka, kuzanyirako obuzanyo nebilara)? [READ OUT]",,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,section_4,,,,,,,,,,,,,,,,,,,,,,
begin group,section_5,,,,,,,,,,,,,,,,,,,,,,
calculate,randomdraw1,,,,,once(random()),,,,,,,,,,,,,,,,,
calculate,random_order,,,,,"round(${randomdraw1}* 6 + 0.5, 0)",,,,,,,,,,,,,,,,,
begin group,gr5_1,,,,,,,,,,${random_order}=1,,,,,,,,,,,,
note,note_q5_1,"5.1) Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","5.1) Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,,,,,,,,,,,,,,
select_one yesno_consent,doctor_q5_1a,A doctor,Musawo/doctor,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,teacher_q5_1a,A teacher,Omusomesa,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,principal_q5_1a,A school principal,Omukuulu w'esomeero,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,official_q5_1a,A government official,Omukungu wa gavumenti,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,judge_q5_1a,A judge/lawyer,Omulamuzi/munnamateeka,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,police_q5_1a,A police officer,Wa poliisi,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,clergy_q5_1a,A religious leader/member of the clergy,Mukuulu w'eddini,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
end group,gr5_1,,,,,,,,,,,,,,,,,,,,,,
begin group,gr5_1_b,,,,,,,,,,${random_order}=2,,,,,,,,,,,,
note,note_q5_1_b,"5.1) Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","5.1) Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,,,,,,,,,,,,,,
select_one yesno_consent,doctor_q5_1b,A doctor,Musawo/doctor,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
select_one yesno_consent,teacher_q5_1b,A teacher,Omusomesa,"Next, we would like to know more about your family. Is anyone in your family, including you, currently or has ever been…","Kati twagala okwongela okumanya kubikwata ku makago oba famile yo. Oli, oba olina omuntu yeena mumakago oba famile yo eyaliko, oba nga;",,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
