type,name,label:english,label:luganda,hint,default,appearance,constraint ,constraint message,relevance,disabled,required,required message,read only,calculation,repeat_count,media:image,media:audio,media:video,choice_filter,note,response_note,publishable
note,intro,"Introduction: Hello my name is ${tl_string}. I am working with IPA, a nongovernmental organization (NGO). IPA studies development and economics throughout the world. In Uganda we are based in Kampala but we have field offices around the country. We are currently conducting a research study for Donald Green a researcher at Columbia University, and Dickson Malunda, IPA Deputy Country Director, to learn about the views of Ugandans.

Invitation to Participate: This study aims to recruit approximately 13759 people in Ugandan villages between 18 and 65 years of age. You may have been interviewed when we came to this trading center. In addition to that, we now aim to conduct interviews with the VHTÍs in the 112 Trading Centers in which we work. We would like to invite you to participate in our study. Your participation is completely voluntary.  You can refuse to answer the entire survey, stop the survey at any time, or you can tell us when a question makes you uncomfortable and we will skip that question. If you agree to participate, I will ask you some questions about your activities in your LC1. All answers are accepted. The questions should take approximately 30 minutes to answer depending on how you respond.  

Risks: There will be no risk for you or your household if you choose to participate in this study and participating will not stop you from receiving services or assistance from any organization.

Benefits: There will not be any direct benefit to you, such as monetary compensation for participating in this survey. 

Confidentiality: Your participation in this study will be confidential and the answers you provide will be stored securely in the offices of IPA in Kampala. Your name and any other identifying information will be accessible only to the affiliated researchers and will never appear in any sort of report that might be published or shared with organizations who are interested in the results.  

The following individuals and/or agencies will be able to look at and copy your research records:
´ The investigator, study staff and other professionals who may be evaluating the study
´ Authorities from Columbia University, including the Institutional Review Board ('IRB')
´ The United States Office of Human Research Protections ('OHRP')
Questions & Concerns: Please ask us anything you want to know about this project now or later on the details below.

","Introduction: Ssebo/nyabo amanya gange nze ${tl_string}. Nkola nÍekitongole ekya IPA, ekitongole ekyÍobwannakyewa (NGO). IPA enonyereza kubyÍenkulakulana nÍebyenfuna okwetoloola ensi. Mu Uganda tusinziira mu kampala naye tulina ofiisi mu bitundu jetukolera okwetolola eggwanga. Tuliku musomo gwÍokunonyereza ogukulirwa Donald Green, okuva mu tendekero elya wagulu elya Columbia University, ne Dickson Malunda, IPA Deputy Country Director, okuyiga ku ndowooza za bana Uganda.

Invitation to Participate: 
Omusomo guno gugenderera okuyingiza abantu 13759 bagwetabemu ngÍera bali wakati we myaka 18 ne 65 egyÍobukulu. 
Kati nekirala tugenderera okubuuza abasawo bÍebyalo oba ba VHT (Village Health Team) abali mu sitenseni 112 mwÍetukolera. Twandyagade okukwaniriza okwetaba mu musomo gwaffe. Okwetabamukwo kwakyeyagalire. Osobola okugaana okuddamu ebibuuzo byonna, okuyimiriza ebibuuzo ekiseera kyonna, oba osobola okutubulira singa ekibuuzo kikumalako emirembe era tujja kubuuka ekibuuzo ekyo. 
Ngenda kukubuuza ku bintu byokola mu LC yo oba ekyalo kyo. Byona byoba ozeemu bikirizibwa. Ebibuuzo bijja kutwala edakika nga 30 kusinzira bwoba obizeemu.

Risks: Tewajjakuba buzibu bwona eri ggwe oba aboÍmumakaago singa osalawo okwetaba mu musomo guno era okwetabamu kwo tekujja kukutangira kufuna buwereza oba buyambi okuva eri ekitongole ekilala kyonna.

Benefits: Tewajjakuba kyÍofunamu butereevu,okugeza nga okuweebwa sente olwokwetaba mu musomo guno.

Confidentiality: Okwetabamukwo mu musomo guno kujjakuba kwakyaama nebyozzeemu bijjakukumiibwa bulungi mu ofiisi za IPA mu kampala. Amannya go nÍebilara ebikukwatako bijjakuba bimanyibwa abo bokka abanonyereza abaninako akakwate era tebilifulumizibwe mu kiwandiiko kyonna ekiyinza okufulumizibwa oba okubigabana nÍebitongole ebiyinza okuba nÍobwetaavu mwÍebyo ebinaaba bivudemu.

Abantu oba ebitongole bino wamanga bajja kusobola okulaba nÍokufuna kubiwandiko oba ebivudde mukunonyereza; 
´ Omunonyereza omukulu,abakozi mumusomo guno nÍabayivu abayinza okuba mukunonyereza kuno
´ Abobuyinza okuva mu Columbian University,ngÍotadeko ne Institutional Review Board ('IRB')
´ The United States Office of Human Research Protections ('OHRP')

Questions & Concerns: Bambi tubuuze ekintu kyonna kyÍoyagala okumanya kubikwata ku pulojekiti eno kati oba edda kundagiliro zino wamanga. 

",,,,,,,,,,,,,,,,,,,
begin group,survey_consent,,,,,field-list,,,,,,,,,,,,,,,,
note,consent_text,"Consent: If you agree to participate in the study, please check the box and sign or write your initials or give a thumb print to show that you understand the information above and that your consent is given voluntarily. You may take up to 15 minutes alone to consider whether or not you wish to participate.

I have read the above purpose of the study, and understand my role in participating in the research. I volunteer to take part in this research. I have had a chance to ask questions. If I have questions later, about the research, I can ask the investigator listed above. I understand that I may refuse to participate or withdraw from participation at any time. The investigator may withdraw me at his/her professional discretion. I certify that I am 18 years of age or older and freely give my consent to participate in this study. I will receive a copy of this document for my records.
","Consent: Singa oba okkiriza okwetaba mu musomo, bambi golola mu kabokisi era ssaako omukono oba wandiika ennyukuta ezikulembera amannyago oba teekako ekinkumu kyekigalo ekisajja okulaga nti otegera byetwogeddeko waggulu era nti okukirizakwo kuweereddwayo kyeyagalire. Osobola okutwala eddakika nga kumi nataano ngÍoliwekka okusobola okusalawo okugwÍetabamu oba tewandiyagadde kugwÍetabamu.

Nsomye omugaso gwÍomusomo ogwo wagulu,era ntegera obuvunanyizibwa bwange mu kugwetabamu. Newadeyo okugwetabamu.Nfunye omukisa okubuuza ebibuuzo.Bwemba nina ebibuuzo gyebujja,ebikwata kumusomo,nsobola okubuuza omunonyereza awandikidwa wagulu.Ntegera nti nsobola okugaana okwetabamu oba okuva mukunonyereza kuno obudde bwona. Omunonyereza ayinza okunzijjamu nga asinziira ku bukkugubwe. Nzikiriza nti mpeza emyaaka kumi na munaana egyÍobukkulu oba nÍokusingawo era mpayo okukiriza kwange okwetaba mu musomo guno. Njakufuna kopi yÍolupapula luno nga likodi yange.
",,,,,,,,,,,,,,,,,,,
select_one yesno_consent,consent,Would you like to proceed with this survey?,Oyagala okweyongerayo nebibuuzo?,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
end group,survey_consent,,,,,,,,,,,,,,,,,,,,,
begin group,consented,,,,,,,,${consent} = 1,,,,,,,,,,,,,
note,note_3,Thank you for agreeing to participate!,Webale Okukiriza okwetabamu!,,,,,,,,,,,,,,,,,,,
begin group,section_1,,,,,,,,,,,,,,,,,,,,,
datetime,date_time,1.2) TEAM LEADER: Please record the date and time of this interview,1.2) TEAM LEADER: Please record the date and time of this interview,,,no-calendar,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
select_one tc,tc,1.3) Trading center,1.3) Trading center,What is the name of the trading center that is village is linked to?,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
text,village,1.4) Village,1.4) Village,TEAM LEADER: Type the village name.,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
text,id,1.5) Respondent ID,1.5) Respondent ID,TEAM LEADER: Please use 7 digits.,,,string-length(.)=7,You must enter 7 digits.,,,yes,"Sorry, this response is required.",,,,,,,,,,
end group,section_1,,,,,,,,,,,,,,,,,,,,,
begin group,section_2,,,,,,,,,,,,,,,,,,,,,
select_one q2_1,gender_q2_1,2.1) TEAM LEADER: Please select the gender of the respondent.,2.1) TEAM LEADER: Please select the gender of the respondent.,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,age_q2_2,2.2) How old are you?,2.2) Olina emyaka emeka?,,,,.>17,Sorry the person to be interviewed needs to be at least 18 years old.,,,yes,"Sorry, this response is required.",,,,,,,,,,
select_one vht,vht_naba,2.3) Is the respondent a VHT or a nabakyaala?,2.3) Is the respondent a VHT or a nabakyaala?,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
begin group,vht,,,,,,,,${vht_naba}=1,,,,,,,,,,,,,
begin group,q2_3vht,,,,,field-list,,,,,,,,,,,,,,,,
note,long_VHT_q2_3,2.4) How long have you been a VHT?,2.4) Omaze ebangaki aga oli VHT?,,,,,,,,,,,,,,,,,,,
select_one q2_3,unit_q2_3vht,TEAM LEADER: Indicate the unit,TEAM LEADER: Indicate the unit,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
decimal,number_q2_3vht,TEAM LEADER: Indicate the number,TEAM LEADER: Indicate the number,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
end group,q2_3vht,,,,,,,,,,,,,,,,,,,,,
text,started_VHT_q2_4,2.5) How did you get started as a VHT?,2.4) Watandika otya okuba VHT?,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
select_one yesno,paid_q2_5vht,2.6) Do you get paid for your work as VHT?,2.6) Osasulwa kumulimu gwo ngaÍ VHT?,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
text,earn_q2_6vht,2.7) How do you earn money? ,2.6) Olina kyokola okufuna ssente?,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
end group,vht,,,,,,,,,,,,,,,,,,,,,
begin group,nabakyaala,,,,,,,,${vht_naba}=2,,,,,,,,,,,,,
begin group,q2_3naba,,,,,field-list,,,,,,,,,,,,,,,,
note,long_naba_q2_3,2.4) How long have you been a nabakyaala?,2.4) Omaze ebangaki aga oli nabakyaala?,,,,,,,,,,,,,,,,,,,
select_one q2_3,unit_q2_3naba,TEAM LEADER: Indicate the unit,TEAM LEADER: Indicate the unit,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
decimal,number_q2_3naba,TEAM LEADER: Indicate the number,TEAM LEADER: Indicate the number,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
end group,q2_3naba,,,,,,,,,,,,,,,,,,,,,
text,started_naba_q2_4,2.5) How did you get started as a nabakyaala?,2.4) Watandika otya okuba nabakyaala?,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
select_one yesno,paid_q2_5naba,2.6) Do you get paid for your work as nabakyaala?,2.6) Osasulwa kumulimu gwo ngaÍ nabakyaala?,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
text,earn_q2_6naba,2.7) How do you earn money? ,2.6) Olina kyokola okufuna ssente?,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
end group,nabakyaala,,,,,,,,,,,,,,,,,,,,,
begin group,q2_7a,,,,,field-list,,,,,,,,,,,,,,,,
note,hospital_q2_7,"2.7) In case of an emergency, how long does it take to reach the health center 2 from your village (in the fastest way possible)?","2.7) Wewaba wagudewo obwetavu, kitwala bude bwenkanawa okutukirira edwaliro elisokebwako okuva ku kyalokyo? (mubwangu obusoboka)",,,,,,,,,,,,,,,,,,,
select_one q2_5,unit_q2_7,TEAM LEADER: Indicate the unit,TEAM LEADER: Indicate the unit,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
decimal,number_q2_7,TEAM LEADER: Indicate the number,TEAM LEADER: Indicate the number,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
end group,q2_7a,,,,,,,,,,,,,,,,,,,,,
begin group,q2_7b,,,,,field-list,,,,,,,,,,,,,,,,
note,hospital_q2_7b,"2.7b) In case of an emergency, how long does it take to reach the health center 3 from your village (in the fastest way possible)?","2.7b) Wewaba wagudewo obwetavu, kitwala bude bwenkanawa okutukirira edwaliro eddene okuva ku kyalokyo? (mubwangu obusoboka)

",,,,,,,,,,,,,,,,,,,
select_one q2_5,unit_q2_7b,TEAM LEADER: Indicate the unit,TEAM LEADER: Indicate the unit,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
decimal,number_q2_7b,TEAM LEADER: Indicate the number,TEAM LEADER: Indicate the number,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
end group,q2_7b,,,,,,,,,,,,,,,,,,,,,
integer,households_q2_8,2.8) How many households are you responsible for?,2.8) Amaka ameka govunanizibwako ngaÍ VHT?,,,,,,${vht_naba}=1,,yes,"Sorry, this response is required.",,,,,,,,,,
note,visits_q2_9,2.9) How often do you make rounds to visit them?,2.9) Amaka gano ogakyalila mirundi emeka?,,,,,,${vht_naba}=1,,,,,,,,,,,,,
select_one q2_9,visits_q2_9units,2.9) Indicate the unit,2.9) Indicate the unit,,,,,,${vht_naba}=1,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,visits_q2_9number,2.9) Indicate the number of times,2.9) Indicate the number of times,,,,,,${vht_naba}=1,,yes,"Sorry, this response is required.",,,,,,,,,,
end group,section_2,,,,,,,,,,,,,,,,,,,,,
begin group,section_3,,,,,,,,,,,,,,,,,,,,,
note,note_3_1,"3.1) Since December 2016, how many people have come to you with the following concerns?","3.1) Okuva mugwe kuminebiri, Abantu bameka abakutukiridde  n'ensonga zino wamanga?",,,,,,,,,,,,,,,,,,,
integer,immunization_q3_1a,a) questions about children immunization ,a) ebibuzo ebikwata kuÍkugema abaana,"TEAM LEADER: Since December, how many peoplehave come to you with the following concerns?",,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,poisoning_q3_1b,b) questions about general health issues,b) ebibuzo ebikwata kuÍbyobulamu,"TEAM LEADER: Since December, how many peoplehave come to you with the following concerns?",,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,malaria_q3_1c,c) questions about child health and child rearing,c) ebibuzo ebikwata kuÍ byobulamu noÍkulabirila abaana,"TEAM LEADER: Since December, how many peoplehave come to you with the following concerns?",,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,abortion_q3_1d,d) complications following an abortion,d) ebizibu ebyekusa kukujamu embuto,"TEAM LEADER: Since December, how many peoplehave come to you with the following concerns?",,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,birth_control_q3_1e,e) consultations about birth control,e) okwebuza kuÍ nsonga zoÍ ebyekuzala,"TEAM LEADER: Since December, how many peoplehave come to you with the following concerns?",,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,violence_q3_1f,f) violence against a woman in the family,f) obusambatuko kuÍbakyala mumaka ,"TEAM LEADER: Since December, how many peoplehave come to you with the following concerns?",,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
text,other_q3_1g,"g) other, specify","g) other, specify","TEAM LEADER: Since December, how many peoplehave come to you with the following concerns?",,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,other_q3_1g_number,"g) other, specify","g) other, specify","TEAM LEADER: Since December, how many peoplehave come to you with the following concerns?",,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
begin group,q3_2,,,,,,,,${abortion_q3_1d}>0,,,,,,,,,,,,,
note,note_3_2,"3.2) Of the people asking for medical assistance or advice following an abortion, how many were","3.2) Ku bantu abali babuza ku byobujanjabi oba okubulilirwa ku nsonga ya okujamu embuto, bameka kwabo abali nga:",,,,,,,,,,,,,,,,,,,
integer,woman_q3_2a,a) the woman who had the abortion,a) omukyala eyajamu olubuto ,"TEAM LEADER: Of the people asking for medical assistance or advice following an abortion, how many were?",,,.<=${abortion_q3_1d},,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,husband_q3_2b,b) husband/boyfriend,b) omwami oba omuganzi ,"TEAM LEADER: Of the people asking for medical assistance or advice following an abortion, how many were?",,,.<=${abortion_q3_1d},,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,family_q3_2c,c) close family,c) owoÍluganda,"TEAM LEADER: Of the people asking for medical assistance or advice following an abortion, how many were?",,,.<=${abortion_q3_1d},,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,friends_q3_2d,d) friends of the woman,d) mukwano woÍ mukyala ,"TEAM LEADER: Of the people asking for medical assistance or advice following an abortion, how many were?",,,.<=${abortion_q3_1d},,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,neighbors_q3_2e,e) neighbors,e) owoÍkumulirwano,"TEAM LEADER: Of the people asking for medical assistance or advice following an abortion, how many were?",,,.<=${abortion_q3_1d},,,,yes,"Sorry, this response is required.",,,,,,,,,,
text,other_q3_2f,"f) other, specify","f) other, specify","TEAM LEADER: Input the category. If there are no ""others"", put 0.",,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,other_q3_2f_number,"f) other, specify","f) other, specify","TEAM LEADER: Input the number. If there are no ""others"", put 0.",,,.<=${abortion_q3_1d},,,,yes,"Sorry, this response is required.",,,,,,,,,,
note,q3_2err,TEAM LEADER: Sorry the sum does not match with what you have answered before.,TEAM LEADER: Sorry the sum does not match with what you have answered before.,TEAM LEADER: Go back and change your selection.,,,,,${woman_q3_2a}+${husband_q3_2b}+${family_q3_2c}+${friends_q3_2d}+${neighbors_q3_2e}+${other_q3_2f_number}!=${abortion_q3_1d},,yes,,,,,,,,,,,
end group,q3_2,,,,,,,,,,,,,,,,,,,,,
select_one yesno,abo_unreported_q3_2,3.2) Have you heard of abortions/abortion-related problems that occurred in the community but werenÍt reported to you?,3.2) Wali owulideko kunsonga oba ebizibu ebiva oba ebyekusa kukujamu embuto ngaÍ byaberawo mu kitundu kyo naye nga tebyakuloperwa?,,,,,,${abortion_q3_1d}=0,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,abo_unreported_q3_2b,3.2b) How many?,3.2b) Nsonga meka?,,,,,,${abo_unreported_q3_2}=1,,yes,"Sorry, this response is required.",,,,,,,,,,
begin group,q3_3,,,,,,,,${violence_q3_1f}>0,,,,,,,,,,,,,
note,note_3_3,"3.3) Of the people coming to you because of violence in a family, how many were:","3.3) Ku bantu abakutukirila ku nsonga yo'butabanguko mumaka, bameka kwabo nga:",,,,,,,,,,,,,,,,,,,
integer,victim_q3_3a,a) the victim,a) bebasobeza ko ,"TEAM LEADER: Of the people coming to you because of violence in a family, how many were?",,,.<=${violence_q3_1f},,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,perpetrator_q3_3b,b) the perpetrator,b) omusobya ,"TEAM LEADER: Of the people coming to you because of violence in a family, how many were?",,,.<=${violence_q3_1f},,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,victim_fam_q3_3c,c) close family of the victim,c) aboluganda baÍ bebasobeza ko ,"TEAM LEADER: Of the people coming to you because of violence in a family, how many were?",,,.<=${violence_q3_1f},,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,perpetrator_fam_q3_3d,d) close family of the perpetrator,d) aboluganda baÍ musobya ,"TEAM LEADER: Of the people coming to you because of violence in a family, how many were?",,,.<=${violence_q3_1f},,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,victim_friends_q3_3e,e) friends of the victim,e) obeÍmikwano baÍ bebasobeza ko ,"TEAM LEADER: Of the people coming to you because of violence in a family, how many were?",,,.<=${violence_q3_1f},,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,perpetrator_friends_q3_3f,f) friends of the perpetrator,f) obeÍmikwano baÍ omusobya ,"TEAM LEADER: Of the people coming to you because of violence in a family, how many were?",,,.<=${violence_q3_1f},,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,neighbors_q3_3g,g) neighbors,g) abokumulirano,"TEAM LEADER: Of the people coming to you because of violence in a family, how many were?",,,.<=${violence_q3_1f},,,,yes,"Sorry, this response is required.",,,,,,,,,,
text,other_q3_3h,"h) other, specify","h) other, specify","TEAM LEADER: Input the category. If there are no ""others"", put 0.",,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,other_q3_3h_number,"h) other, specify","h) other, specify","TEAM LEADER: Input the number. If there are no ""others"", put 0.",,,.<=${violence_q3_1f},,,,yes,"Sorry, this response is required.",,,,,,,,,,
note,q3_3err,TEAM LEADER: Sorry the sum does not match with what you have answered before.,TEAM LEADER: Sorry the sum does not match with what you have answered before.,TEAM LEADER: Go back and change your selection.,,,,,${victim_q3_3a}+${perpetrator_q3_3b}+${victim_fam_q3_3c}+${perpetrator_fam_q3_3d}+${victim_friends_q3_3e}+${perpetrator_friends_q3_3f}+${neighbors_q3_3g}+${other_q3_3h_number}!=${violence_q3_1f},,yes,,,,,,,,,,,
end group,q3_3,,,,,,,,,,,,,,,,,,,,,
select_one yesno,viol_unreported_q3_2,3.3) Have you heard of episodes of violence that occurred in the community but werenÍt reported to you?,3.3) Wali owulideko ku nsonaga zobutabanguko ngaÍ zaliwo mukitundu kyo naye nga teli yakuloperako ko kuÍ nsonga zino?,,,,,,${violence_q3_1f}=0,,yes,"Sorry, this response is required.",,,,,,,,,,
integer,viol_unreported_q3_3b,3.3b) How many?,3.3b) Nsonga meka?,,,,,,${viol_unreported_q3_2}=1,,yes,"Sorry, this response is required.",,,,,,,,,,
select_one yesno,abo_nomedic_q3_4,"3.4) In your recent experience, are there cases of serious post-abortion complications where the women do not seek out medical attention?","3.4) Okusinzira kubumanyirivu bwo, waliwo ensonga ezamanyi  ezikwata kuÍ buzibu obuva kuÍ kujamu embuto nga kiva kuÍ  abakyala obutafuna bujanjabi?",,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
text,abo_nomedic_q3_4why,3.4b) Why do you think that is?,"3.4b) Olowoza lwaki kilikityo?

",,,,,,${abo_nomedic_q3_4}=1,,yes,"Sorry, this response is required.",,,,,,,,,,
select_one yesno,viol_nomedic_q3_5,"3.5) In your recent experience, are there cases of serious family violence where the women do not seek out medical attention?","3.5) Okusinzira kubumanyirivu bwo, waliwo ensonga ezobutabanguko mumaka eza manyi nga abakyala tebafuna bujanjabi?",,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
text,viol_nomedic_q3_5why,3.5b) Why do you think that is?,3.5b) Olowoza lwaki kilikityo?,,,,,,${viol_nomedic_q3_5}=1,,yes,"Sorry, this response is required.",,,,,,,,,,
text,advice_q3_6,3.6) Imagine a woman came to you and told you that her husband was beating her. What would your advice to that woman be?,"3.6) Fumitiriza nga omukyala azze nakugamba nti baawe omukuba, kiki kyoyinza omugamba okukola kunsonga eyo?",,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
end group,section_3,,,,,,,,,,,,,,,,,,,,,
begin group,section_4,,,,,,,,,,,,,,,,,,,,,
decimal,years_vill_q2_12,4.1) How many years have you lived in the village? (In total),4.1) Myaka emeka gy'omazze mukyalo? (Omugate),,,,.<=${age_q2_2},,,,yes,"Sorry, this response is required.",,,,,,,,,,
select_one q4_2,people_known_q2_13,"4.2) If asked, how many people in the village would you be able to name?","4.2) Singa bakubuza, Bantu bameka bosobola okumanya amanya mu kyalo kyo? [READ OUT]",,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
select_one q13_6,turn_backs_q12_6,4.3) Imagine that a woman from your community had a deliberate abortion. How many people in your community will turn their backs on her?,4.3) Teberezamu nti omukyaala okuva mukitundu kyo agyemu olubuto mubugenderere.bantu bameka mukitundu kyo abagya okumwewala? [READ OUT],,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
begin group,q4_4,,,,,field-list,,,,,,,,,,,,,,,,
note,note12_1_b,Suppose that your 17-year old neighbor has had a deliberate abortion because she wanted to take a full-time job. She has been ostracized from the community and people seem to have turned their backs on her. ,Fumitiriza nti mulirwana wo owemyaka 17 ajjeemu olubuto mubugenderevu kubanga abadde ayagala kwefunira omulimu ogutwala obudde bwe obuwanvu mu lunaku. Abooledwa mu kitundu era nga abantu balabika bamuvuddemu.,,,,,,,,,,,,,,,,,,,
select_one q13_2,involved_comm_q12_2,4.4) What do you think most others in your community think about this issue? [READ OUT],4.4) Olowooza abantu abasinga abalala mukitundu kyo balowooza ki  kunsonga eno? [READ OUT],,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
end group,q4_4,,,,,,,,,,,,,,,,,,,,,
select_one q8_9,intervene_q8_9,"4.5) Suppose a man beats his wife almost every evening. In your view, should other people intervene or should they wait for the situation to improve on its own?","4.5) Fumitiriza omusajja akuba mukaziwe kumpi buli lwaggulo. Mu ndabayo, abantu abalala balina okuyingiramu oba balina kufa ku bibakwatako?",,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
select_one q16_3_2,friends_fam_q16_3,"4.6) Suppose a man beats his wife almost every evening. Some people think that if friends and family take action, they can stop the violence. Others believe that meddling in the coupleÍs affairs wonÍt help because things will quickly go back to how they were. Which comes closest to your view?","4.6) Fumitiriza omusajja akuba mukaziwe kumpi buli lwaggulo. Abantu abamu balowooza nti singa abemikwano namaka babaako kyebakola, basobola okukomya obulabe. Abalala balowooza nti okweyingiza mu nsonga z'abagalana tekiyinza kuyamba kubanga ebintu mangu ddala bjja kuddayo nga bwebyali. ki ekijjila amangu ku ndowooza yo?",,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
end group,section_4,,,,,,,,,,,,,,,,,,,,,
begin group,section_5,,,,,,,,,,,,,,,,,,,,,
note,note5_1,Now letÍs talk about another problem that may affect your community; itÍs related to school and teachers.,"Kati katwogele kuÍnsonga endala ekwata kuÍkitundu kyo, Eno ensonga ekwata kuÍmasomero naÍbasomesa kuÍmasomero.",,,,,,,,,,,,,,,,,,,
select_one yesno,parents_complain_q5_1,5.1) Do mothers or fathers of schoolchildren ever complain to you that the teachers are not showing up to teach their children in the local schools? ,5.1) Abazade babaana batera okwemulugunya gyoli nti abasomesa tebalabikako okusomesa abaana bwabwe mumasomero gokukyalo?,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
text,complan_solution_q5_1c,5.1b) How did this problem work out? ,5.1b) Kino ekizibu kyagonjolwa kitya?,,,,,,${parents_complain_q5_1}=1,,yes,"Sorry, this response is required.",,,,,,,,,,
end group,section_5,,,,,,,,,,,,,,,,,,,,,
begin group,section_6,,,,,,,,,,,,,,,,,,,,,
note,note_q6_1,"Sometimes ñdoctorsî refer to medical doctors and sometimes they refer to people who practice traditional healing or witchcraft, for the following questions, weÍll be referring to medical doctors.","Ebiseera ebisinga abantu webawulira omusawo balowoza nti tutegeza musawo muganda, oba omusawo we kinansi, ate ebisera ebilala balowoza tutegeza omusawo owekizungu, kubibuzo byengenda okubuza tujjakuba tutegeza abosawo abeÍedagala lyeÍ kizungu.",,,,,,,,,,,,,,,,,,,
select_one yesno,rounds_q6_1,6.1) Do doctors make rounds?,6.1) Abasawo babayitamu ko mukyalo wakiri omulundi gumu mumwezi?,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
