list_name,name,label:english,label:luganda,image,filter
tc,87,87,87,,
tc,53,53,53,,
tc,59,59,59,,
tc,57,57,57,,
tc,36,36,36,,
tc,60,60,60,,
tc,82,82,82,,
tc,67,67,67,,
tc,37,37,37,,
tc,68,68,68,,
tc,3,3,3,,
tc,76,76,76,,
tc,63,63,63,,
tc,48,48,48,,
tc,64,64,64,,
tc,101,101,101,,
tc,43,43,43,,
q4_2,1,Everyone,Buli omu,,
q4_2,2, Almost everyone,Kumpi buli omu,,
q4_2,3,Some people,Abantu abamu,,
q4_2,4,Not many people at all,Si bantu bangi nyo nakamu,,
q4_2,999,Don腎 know,Don't know,,
q4_2,888,Refuse to answer,Refuse to answer,,
q13_2,1,"She made her choice and has violated god尽 rule, it is better not to get involved","Yesalirawo namenya amateeka ga Katonda, kisingako obutabiyingiramu",,
q13_2,2,"Regardless of what this woman did, we should try to help her",Kyona omukyala ono kyeyakola tulina okugezako omuyamba,,
q13_2,999,Don't know,Don't know,,
q13_2,888,Refuse to answer,Refuse to answer,,
q13_6,1,No one,Tewali nomu,,
q13_6,2,Only a few people,Bantu batono,,
q13_6,3,Most people,Abantu abasinga,,
q13_6,4,Almost everyone,Kumpi buli omu,,
q13_6,999,Don't know,Don't know,,
q13_6,888,Refuse to answer,Refuse to answer,,
q15_1,1,"When a person suddenly falls ill, it is most likely due to witchcraft.","Singa omuntu alwaala mubwangu, mukisa gwawaggulu okuba kivudde ku ddogo.",,
q15_1,2,"When a person suddenly falls ill, there is most likely a medical explanation for it.","Singa omuntu alwaala mubwangu, mukisa gwawaggulu okuba nti kisobola okunnyonnyolwa mu ngeri eyekisawo",,
q15_1,999,Don腎 know,Don腎 know,,
q15_1,888,Refuse to answer,Refuse to answer,,
q18_1,1,6,6,,
q18_1,2,5,5,,
q18_1,3,4,4,,
q18_1,4,3,3,,
q18_1,5,2,2,,
q18_1,6,1,1,,
q18_1,7,0 but knew about screenings,0 naye namanya ku ndaga ezo,,
q18_1,8,0 did not know about the screenings,0 saamanya ku ndaga ezo,,
q18_1,999,Don't know,Don't know,,
q18_1,888,Refuse to answer,Refuse to answer,,
q6_4,1,All of them,Buli塵mu,,
q6_4,2,Most of them,Abasinga obungi,,
q6_4,3,Some of them,Abantu abamu,,
q6_4,4,None of them,Teli'nomu,,
q6_4,999,Don't know,Don't know,,
q6_4,888,Refuse to answer,Refuse to answer,,
q8_1a2,1,Slapped,Kumukuba oluyi,,
q8_1a2,2,More force than that,Kumukubisa amanyi agasingako,,
q8_1a2,999,Don't know,Don't know,,
q8_1a2,888,Refuse to answer,Refuse to answer,,
q13_5,1,Approve,Nkiwagira/nzikiriziganya nakyo,,
q13_5,2,Disapprove,Sikiwagira/sikiriziganya nakyo,,
q13_5,999,Don't know,Don't know,,
q13_5,888,Refuse to answer,Refuse to answer,,
vht,1,VHT,VHT,,
vht,2,Nabakyaala,Nabakyaala,,
q8_9,1,They should intervene,Balina okubiyingiramu,,
q8_9,2,They should wait for the situation to improve on its own,Balina okulinda embeera nekkakana yokka,,
q8_9,999,Don't know,Don't know,,
q8_9,888,Refuse to answer,Refuse to answer,,
q16_3_2,1,"If friends and family take action, they can stop the violence","Singa abemikwano n'engamda babaako kyebakola, basobola okukomya obutabanguko",,
q16_3_2,2,Meddling in the couple尽 affairs won腎 help because things will eventually go back to how they were,Okweyingiza mu nsonga z'abagalana tekijja kuyamba kubanga ebintu oluvanyuma  bijja kuddayo nga bwebyali ,,
q16_3_2,999,Don't know,Don't know,,
q16_3_2,888,Refuse to answer,Refuse to answer,,
q6_2,1,Go to a clinic,Kugenda mu kalwaliro (Clinic),,
q6_2,2,Go to a hospital,Kugenda mu dwaliro,,
q6_2,3,Others from the village would provide first aid,Abalala mu kyalo basobola okukuwa obujanjabi obusokerwako,,
q6_2,4,The VHT would provide first aid,Omusawo wekyalo asobola okukuwa obujanjabi obusokerwako,,
q6_2,5,A nurse from the village would provide first aid,Omusawo okuva mu kyalo asobola okukuwa obujanjabi obusokerwako,,
q6_2,999,Don't know,Don't know,,
q6_2,888,Refuse to answer,Refuse to answer,,
q18_3,1,"Yes, friends and family","Yye, n親mikwaano n紳boluganda",,
q18_3,2,"Yes, friends","Yye, n親mikwaano",,
q18_3,3,"Yes, family","Yye, n紳boluganda",,
q18_3,4,No,No,,
q18_3,999,Don腎 know,Don腎 know,,
q18_3,888,Refuse to answer,Refuse to answer,,
q2_9,1,Day,Day,,
q2_9,2,Week,Week,,
q2_9,3,Month,Month,,
q2_9,4,Year,Year,,
